t,v,w
0.0,-1.929437229309386,0.9101151095828509
0.04999999999999716,-1.9266929168329416,0.9023029840261362
0.10000000000000142,-1.923932186028037,0.894526810675525
0.14999999999999858,-1.9211574229999506,0.8867865353533518
0.20000000000000284,-1.918370690597229,0.8790820951876411
0.25,-1.9155737728924656,0.8714134198397485
0.29999999999999716,-1.9127682134475297,0.8637804325631747
0.3500000000000014,-1.9099553482409142,0.8561830511171147
0.3999999999999986,-1.9071363340105576,0.8486211885549803
0.45000000000000284,-1.904312172658652,0.84109475390528
0.5,-1.9014837322731335,0.8336036527597914
0.5499999999999972,-1.8986517652417565,0.8261477877818564
0.6000000000000014,-1.8958169238670548,0.818727059145832
0.6499999999999986,-1.8929797738325034,0.8113413649171772
0.7000000000000028,-1.890140805820497,0.8039906013813328
0.75,-1.8873004455401534,0.7966746633284079
0.7999999999999972,-1.8844590623864235,0.7893934442997134
0.8500000000000014,-1.8816169769206907,0.78214683680134
0.8999999999999986,-1.8787744673362132,0.7749347324892571
0.9500000000000028,-1.8759317750487523,0.7677570223297913
1.0,-1.8730891095330147,0.7606135967388087
1.0499999999999972,-1.87024665250862,0.7535043457024706
1.1000000000000014,-1.8674045615647958,0.7464291588820339
1.1499999999999986,-1.8645629733005482,0.7393879257048329
1.2000000000000028,-1.861722006046383,0.7323805354432867
1.25,-1.8588817622244627,0.7254068772835245
1.2999999999999972,-1.8560423303962152,0.7184668403850049
1.3500000000000014,-1.853203787039641,0.7115603139323214
1.3999999999999986,-1.8503661980927346,0.7046871871802234
1.4500000000000028,-1.8475296202944482,0.6978473494927414
1.5,-1.84469410235031,0.6910406903771935
1.5499999999999972,-1.8418596859461076,0.6842670995137375
1.6000000000000014,-1.8390264066298658,0.6775264667810497
1.6499999999999986,-1.836194294579591,0.670818682278633
1.7000000000000028,-1.8333633752718927,0.6641436363461913
1.75,-1.8305336700645556,0.6575012195804468
1.7999999999999972,-1.8277051967043718,0.6508913228497295
1.8500000000000014,-1.8248779697700264,0.6443138373066262
1.8999999999999986,-1.822052001058517,0.6377686543989344
1.9500000000000028,-1.819227299922465,0.6312556658791396
2.0,-1.816403873564684,0.6247747638126013
2.049999999999997,-1.8135817272955403,0.6183258405846133
2.1000000000000014,-1.8107608647579005,0.6119087889064801
2.1499999999999986,-1.8079412881238333,0.605523501820733
2.200000000000003,-1.8051229982666817,0.5991698727055934
2.25,-1.8023059949116513,0.5928477952787803
2.299999999999997,-1.7994902767676524,0.5865571636007415
2.3500000000000014,-1.7966758416427664,0.5802978720773808
2.3999999999999986,-1.7938626865454128,0.5740698154623461
2.450000000000003,-1.7910508077730165,0.5678728888589306
2.5,-1.7882402009897445,0.5617069877216363
2.549999999999997,-1.7854308612946788,0.5555720078574421
2.6000000000000014,-1.7826227832816215,0.549467845426812
2.6499999999999986,-1.77981596109157,0.5433943969444768
2.700000000000003,-1.77701038845877,0.5373515592800159
2.75,-1.774206058751138,0.5313392296582665
2.799999999999997,-1.7714029650057492,0.5253573056595788
2.8500000000000014,-1.7686010999599922,0.5194056852199374
2.8999999999999986,-1.7658004560789196,0.513484266630966
2.950000000000003,-1.7630010255792599,0.5075929485398308
3.0,-1.7602028004504906,0.5017316299490523
3.049999999999997,-1.7574057724733336,0.49590021021623987
3.1000000000000014,-1.754609933235975,0.4900985890537583
3.1499999999999986,-1.7518152741482886,0.484326666528334
3.200000000000003,-1.7490217864542967,0.47858434306060976
3.25,-1.7462294612430809,0.4728715194246536
3.299999999999997,-1.7434382894583202,0.4671880967474292
3.3500000000000014,-1.740648261906625,0.4615339765082323
3.3999999999999986,-1.7378593692648034,0.4559090605380971
3.450000000000003,-1.7350716020861845,0.4503132510191784
3.5,-1.7322849508061091,0.44474645048411143
3.549999999999997,-1.7294994057466822,0.4392085618153538
3.6000000000000014,-1.7267149571208733,0.43369948824451143
3.6499999999999986,-1.7239315950360368,0.42821913335165196
3.700000000000003,-1.7211493094969195,0.4227674010646067
3.75,-1.7183680904082117,0.4173441956582644
3.799999999999997,-1.7155879275766919,0.41194942175385774
3.8500000000000014,-1.7128088107130126,0.4065829843182437
3.8999999999999986,-1.7100307294331616,0.4012447886631806
3.950000000000003,-1.7072536732596388,0.3959347404446015
4.0,-1.7044776316223749,0.39065274566188624
4.049999999999997,-1.7017025938594212,0.3853987106571323
4.100000000000001,-1.6989285492174342,0.3801725421144258
4.149999999999999,-1.696155486851973,0.3749741470591133
4.200000000000003,-1.6933833958276345,0.36980343285707473
4.25,-1.6906122651180333,0.36466030721399906
4.299999999999997,-1.687842083605651,0.3595446781746619
4.350000000000001,-1.6850728400815589,0.35445645412220683
4.399999999999999,-1.6823045232450309,0.3493955437774302
4.450000000000003,-1.6795371217030546,0.34436185619806964
4.5,-1.6767706239697477,0.33935530077809756
4.549999999999997,-1.6740050184656905,0.33437578724701905
4.600000000000001,-1.6712402935171784,0.3294232256691747
4.649999999999999,-1.668476437355403,0.3244975264430491
4.700000000000003,-1.665713438115566,0.31959860030058496
4.75,-1.6629512838359266,0.314726358306503
4.799999999999997,-1.660189962456795,0.3098807118576277
4.850000000000001,-1.6574294618194667,0.30506157268221973
4.899999999999999,-1.6546697696651063,0.3002688528393144
