param,window_size,J
true,1,0.01005765581713613
wrong,1,0.012513077639194434
true,2,0.013242040382496986
wrong,2,0.017055506248865766
true,5,0.013221988260868203
wrong,5,0.018841187681623427
true,10,0.007760209799098699
wrong,10,0.01395724558580713
true,25,0.013026746235177996
wrong,25,0.3268678568211529
true,50,0.01961226733791486
wrong,50,0.6959571255672835
true,100,0.009902759002312602
wrong,100,2.595074834364192
