window_size,J_true,J_true_with_sparsity,lambda_min,lambda_max,cond,n_negative,grad_norm
1,0.01005765581713613,0.01773109828394226,0.0003625063979225895,36.45070123035816,100551.8838819003,0,0.038356884487324674
2,0.013242040382496986,0.020915482849303117,-0.002553176112614726,89.44902551401468,8.944902551401467e301,1,0.17214317505034057
3,0.014149706204181402,0.021823148670987533,-0.05090936245586684,168.3601548003161,1.683601548003161e302,1,0.4378757130681171
5,0.013221988260868203,0.020895430727674334,-0.00566088015946424,526.8612471552633,5.2686124715526326e302,2,0.34610057842973335
10,0.007760209799098699,0.01543365226590483,-0.5907384233041661,4961.119106833725,4.9611191068337244e303,4,1.460283543071692
20,0.011736373287913347,0.01940981575471948,-15.097151772751868,27840.78168870729,2.784078168870729e304,5,12.307917327887363
25,0.013026746235177996,0.020700188701984125,-35.62416121270476,122041.66887521387,1.2204166887521386e305,6,24.741484507278457
50,0.01961226733791486,0.02728570980472099,-100.39675331612658,307559.30311383517,3.0755930311383517e305,5,75.55838378951475
100,0.009902759002312602,0.017576201469118733,-135.41018477613636,1.2014118332605409e6,1.2014118332605408e306,5,95.63866292956494
