window_size,stiff_as_written,stiff_repaired,explicit_branch,missing_fraction,repaired_minus_explicit
1,0.0044518846384206685,0.0050288279085216325,0.005028827908568061,0.11472718506101609,4.6428139111043265e-14
10,0.0032215811463863196,0.0038801048176954024,0.003880104899549357,0.1697180107882278,8.185395460394429e-11
25,0.005785404864942125,0.006513373081908136,0.006513373117588742,0.11176516496315114,3.56806060392012e-11
100,0.004364167930933713,0.004951379805481918,0.004951379501155901,0.1185956031686507,3.0432601664381886e-10
