experiment,arm,n_seeds,p_err,score,blowup_frac,wall_total_s
schedule,coarse,8,0.5239330198726451,0.55,0.125,2.0691510438919067
schedule,dense,8,0.3015276026753406,0.8,0.125,2.0719144344329834
schedule,jump,8,0.7635398859689992,0.42500000000000004,0.125,2.0983784198760986
penalty,propagate_graded,8,0.2739694604993433,0.825,0.0,2.1066144704818726
penalty,reset_graded,8,1.6313412645181873,0.3,0.0,1.8798454999923706
noise,propagate σ=0.0,6,0.23130609786374634,0.8,0.16666666666666666,2.057647466659546
noise,propagate σ=0.01,6,0.3617299209539576,0.7,0.16666666666666666,2.1172494888305664
noise,propagate σ=0.02,6,0.24817697533203548,0.875,0.16666666666666666,2.101553440093994
noise,propagate σ=0.05,6,0.22168143017998754,0.8,0.16666666666666666,2.087304949760437
noise,propagate σ=0.1,6,0.3134535930056688,0.625,0.16666666666666666,2.048623561859131
noise,propagate σ=0.2,6,1.8808680041369321,0.225,0.16666666666666666,2.1341605186462402
noise,reset σ=0.0,6,1.6329006639895416,0.25,0.3333333333333333,1.844738483428955
noise,reset σ=0.01,6,1.6021737224521402,0.2,0.3333333333333333,1.8782389163970947
noise,reset σ=0.02,6,1.669431887441794,0.225,0.3333333333333333,1.8758970499038696
noise,reset σ=0.05,6,1.649026404990876,0.25,0.3333333333333333,1.8665735721588135
noise,reset σ=0.1,6,1.6789121223895571,0.225,0.3333333333333333,1.8468520641326904
noise,reset σ=0.2,6,1.70206682422039,0.2,0.3333333333333333,1.8487600088119507
sparsity,0.0,6,0.8141551575481885,0.375,0.16666666666666666,2.175352096557617
sparsity,0.001,6,0.8433112824540374,0.47500000000000003,0.16666666666666666,2.209946036338806
sparsity,0.01,6,0.8874585074866896,0.525,0.16666666666666666,2.0850119590759277
sparsity,0.05,6,0.22168143017998754,0.8,0.16666666666666666,2.050889015197754
sparsity,0.2,6,0.4741284053669988,0.65,0.16666666666666666,2.032889485359192
sparsity,1.0,6,1.0095454375552613,0.6,0.16666666666666666,2.002515435218811
optimizer,bfgs_propagate,8,0.2053378997547372,0.95,0.125,1.4391764402389526
optimizer,bfgs_reset,8,1.6480563366897585,0.225,0.625,13.553724169731142
optimizer,lbfgs_propagate,8,0.2053494660227701,0.95,0.125,102.36287796497345
optimizer,lbfgs_reset,8,1.6480563366897585,0.225,0.625,15.24725890159607
iters,250,4,1.7218729176052874,0.32499999999999996,0.25,0.4310324192047119
iters,500,4,1.4261938906870437,0.2,0.25,0.8172376155853271
iters,1000,4,0.6087472306876599,0.575,0.25,1.0469274520874023
iters,2500,4,0.26582753310856944,0.775,0.25,2.0135715007781982
iters,5000,4,0.19859870417951103,0.9,0.25,3.866730570793152
substeps,1,4,0.4988474180510539,0.75,0.0,0.2063595056533813
substeps,2,4,0.3377392631895303,0.675,0.25,0.42893993854522705
substeps,5,4,0.2852968765613651,0.825,0.25,1.0271484851837158
substeps,10,4,0.26582753310856944,0.775,0.25,1.9905940294265747
substeps,20,4,0.26582753310856944,0.775,0.25,4.059213995933533
seedscale,sc0.01_propagate_flat,8,0.19665298413646204,0.85,0.0,2.064079999923706
seedscale,sc0.01_propagate_graded,8,0.19665298413646204,0.85,0.0,2.061699390411377
seedscale,sc0.01_reset_flat,8,1.6503766672643856,0.35,0.125,1.9509565830230713
seedscale,sc0.01_reset_graded,8,1.5886302662413323,0.375,0.0,1.8804196119308472
seedscale,sc0.03_propagate_flat,8,0.28571472822678345,0.775,0.0,2.084704041481018
seedscale,sc0.03_propagate_graded,8,0.28571472822678345,0.775,0.0,2.0840524435043335
seedscale,sc0.03_reset_flat,8,1.5863311809102743,0.475,0.25,1.8750383853912354
seedscale,sc0.03_reset_graded,8,1.5729240328111473,0.35,0.0,1.9344719648361206
seedscale,sc0.1_propagate_flat,8,0.20862257212643714,0.8500000000000001,0.125,2.0253355503082275
seedscale,sc0.1_propagate_graded,8,0.20862257212643714,0.8500000000000001,0.0,2.0465569496154785
seedscale,sc0.1_reset_flat,8,1.649026404990876,0.25,0.25,1.887524962425232
seedscale,sc0.1_reset_graded,8,1.6313412645181873,0.3,0.0,1.8642394542694092
seedscale,sc0.3_propagate_flat,8,0.42366951857798635,0.7,0.25,2.043088436126709
seedscale,sc0.3_propagate_graded,8,0.3495339534748654,0.825,0.125,2.179343104362488
seedscale,sc0.3_reset_flat,8,2.4431275840407354,0.1,0.25,1.874921441078186
seedscale,sc0.3_reset_graded,8,2.701803932628608,0.1,0.25,1.8314214944839478
