t,v,w,lognorm_local,opnorm_local
0.0,-1.929437229309386,0.9101151095828508,0.013337333903739416,2.9010451027796313
0.0499999999999971,-1.9266929168329416,0.9023029840261362,0.013629301028561512,2.8911134229743327
0.1000000000000014,-1.923932186028037,0.894526810675525,0.013924761435504744,2.8811412422148748
0.1499999999999985,-1.9211574229999504,0.8867865353533518,0.014223502936700858,2.871137521868993
0.2000000000000028,-1.918370690597229,0.8790820951876411,0.014525343054943381,2.861109998014379
0.25,-1.9155737728924656,0.8714134198397485,0.014830125047786046,2.851065351349535
0.2999999999999971,-1.9127682134475297,0.8637804325631747,0.015137714480005024,2.8410093532509637
0.3500000000000014,-1.9099553482409144,0.8561830511171147,0.015447996266874878,2.8309469913465444
0.3999999999999986,-1.9071363340105576,0.8486211885549803,0.015760872121981278,2.8208825775008544
0.4500000000000028,-1.904312172658652,0.84109475390528,0.01607625835287467,2.810819840699408
0.5,-1.9014837322731335,0.8336036527597914,0.016394083956026234,2.8007620069665267
0.5499999999999972,-1.8986517652417565,0.8261477877818564,0.016714288969493243,2.7907118681487035
0.6000000000000014,-1.8958169238670548,0.818727059145832,0.017036823047626697,2.780671841134985
0.6499999999999986,-1.8929797738325032,0.8113413649171772,0.017361644227212862,2.770644018862483
0.7000000000000028,-1.890140805820497,0.8039906013813328,0.0176887178587624,2.760630214263339
0.75,-1.8873004455401536,0.7966746633284079,0.01801801568035625,2.750631998145051
0.7999999999999972,-1.8844590623864237,0.7893934442997134,0.0183495150146215,2.740650731855105
0.8500000000000014,-1.8816169769206907,0.78214683680134,0.01868319807212032,2.730687595460006
0.8999999999999986,-1.8787744673362132,0.7749347324892571,0.019019051346757222,2.7207436120652484
0.9500000000000028,-1.8759317750487523,0.7677570223297913,0.019357065090803177,2.710819668814033
1.0,-1.8730891095330149,0.7606135967388087,0.019697232858844223,2.700916535026482
1.0499999999999972,-1.87024665250862,0.7535043457024706,0.02003955111143232,2.6910348778759223
1.1000000000000014,-1.867404561564796,0.7464291588820339,0.02038401887047774,2.681175275942953
1.1499999999999986,-1.864562973300548,0.7393879257048329,0.020730637419510204,2.6713382309400453
1.2000000000000028,-1.861722006046383,0.7323805354432867,0.021079410042866637,2.66152417785849
1.25,-1.8588817622244629,0.7254068772835245,0.02143034179867339,2.65173349375408
1.2999999999999972,-1.8560423303962152,0.7184668403850049,0.021783439321178707,2.641966505357874
1.3500000000000014,-1.853203787039641,0.7115603139323214,0.022138710648591912,2.6322234956723354
