DeltaT,n_windows,exp_Lambda_max,exp_Lambda_median,exp_Lambda_min,frac_windows_contracting,lognorm_D_bound,cond_D
1,100,2.595049573326847,0.9380049995307295,0.9380049995307295,0.74,2.718281828459045,3.5355339059327378
2,50,5.890290461417742,0.8798533791446438,0.8798533791446438,0.7,7.38905609893065,3.5355339059327378
5,20,8.042623757282941,0.7291374542436075,0.7261490370736908,0.55,148.4131591025766,3.5355339059327378
10,10,5.888311839992962,3.204951594046952,0.5272924240430485,0.3,22026.465794806718,3.5355339059327378
