DeltaT,lipschitz,lognorm,observed_peak
1,69.75183224689147,20.078963982205515,3.713710940556746
2,1544.8338763727638,84.85703907649254,6.660960671917573
5,14643184.562447427,3143.206891152056,11.990726752119002
10,61935324928123.01,1101659.892033867,15.130010228310564
