DeltaT,n_windows,exp_Lambda_max,exp_Lambda_median,exp_Lambda_min,frac_windows_contracting,lognorm_bound,lipschitz_bound
1,100,3.0986913421011777,1.159428717823257,1.0099097210828987,0.0,3.226166208161686,21.147574144070035
2,50,8.560921752210449,1.410617098161317,1.0236870913390226,0.0,10.40814840268435,447.2198921789394
5,20,34.78459725082881,3.7472872395091232,1.173714907519907,0.0,349.4891437897313,4229633.931117149
10,10,138.78615461887998,29.248418615368685,1.8648303876901051,0.0,122142.66162687948,17889803191257.504
