DeltaT,lipschitz,lognorm,observed_peak,ratio_lip_over_obs,ratio_log_over_obs
1,21.147574144070035,3.226166208161686,2.9289990964519874,7.220068510668688,1.101456880635323
2,447.2198921789394,10.40814840268435,6.9215318517217685,64.61284897037511,1.5037348127055525
5,4229633.931117149,349.4891437897313,8.48184304019802,498669.20562802616,41.20438708113278
10,17889803191257.504,122142.66162687948,8.48184304019802,2109188192527.5337,14400.48596136576
