window_size,dp_x,dp_xy,J
1,-1.5,-1.0,3.1369841136098864
1,-1.5,-0.9666666666666667,3.0670694491147152
1,-1.5,-0.9333333333333333,2.99672588615416
1,-1.5,-0.9,2.9259714094855345
1,-1.5,-0.8666666666666667,2.8548256170079243
1,-1.5,-0.8333333333333334,2.783309824398308
1,-1.5,-0.8,2.7114471764224257
1,-1.5,-0.7666666666666667,2.6392627653668668
1,-1.5,-0.7333333333333333,2.5667837570709477
1,-1.5,-0.7,2.494039525071446
1,-1.5,-0.6666666666666666,2.421061793410488
1,-1.5,-0.6333333333333333,2.3478847886970726
1,-1.5,-0.6,2.2745454020560136
1,-1.5,-0.5666666666666667,2.201083361644935
1,-1.5,-0.5333333333333333,2.127541416470429
1,-1.5,-0.5,2.0539655322891983
1,-1.5,-0.4666666666666667,1.9804051004390184
1,-1.5,-0.43333333333333335,1.9069131605082927
1,-1.5,-0.4,1.8335466378221326
1,-1.5,-0.36666666666666664,1.760366596797866
1,-1.5,-0.3333333333333333,1.687438511303949
1,-1.5,-0.3,1.6148325532443863
1,-1.5,-0.26666666666666666,1.542623900686172
1,-1.5,-0.23333333333333334,1.4708930669508942
1,-1.5,-0.2,1.3997262522041853
1,-1.5,-0.16666666666666666,1.3292157191990432
1,-1.5,-0.13333333333333333,1.2594601949619073
1,-1.5,-0.1,1.1905653003551722
1,-1.5,-0.06666666666666667,1.1226440096072294
1,-1.5,-0.03333333333333333,1.0558171420727127
1,-1.5,0.0,0.990213888672663
1,-1.5,0.03333333333333333,0.925972375668312
1,-1.5,0.06666666666666667,0.8632402686448339
1,-1.5,0.1,0.8021754198246597
1,-1.5,0.13333333333333333,0.7429465620957381
1,-1.5,0.16666666666666666,0.6857340534309269
1,-1.5,0.2,0.6307306756929835
1,-1.5,0.23333333333333334,0.5781424921682313
1,-1.5,0.26666666666666666,0.5281897685542322
1,-1.5,0.3,0.4811079625460695
1,-1.5,0.3333333333333333,0.43714878762625736
1,-1.5,0.36666666666666664,0.3965813571691596
1,-1.5,0.4,0.3596934155271838
1,-1.5,0.43333333333333335,0.3267926633783261
1,-1.5,0.4666666666666667,0.2982081852902187
1,-1.5,0.5,0.27430354064485635
1,-1.5,0.5333333333333333,0.2556984380705992
1,-1.5,0.5666666666666667,0.2425527163905938
1,-1.5,0.6,0.23528608549155478
1,-1.5,0.6333333333333333,0.23436019767328742
1,-1.5,0.6666666666666666,0.2402693506604653
1,-1.5,0.7,0.25354292677646345
1,-1.5,0.7333333333333333,0.27474803247274315
1,-1.5,0.7666666666666667,0.3044923565326147
1,-1.5,0.8,0.343427267137789
1,-1.5,0.8333333333333334,0.39225117006676874
1,-1.5,0.8666666666666667,0.45171315261339934
1,-1.5,0.9,0.5226169404021553
1,-1.5,0.9333333333333333,0.6058251971684536
1,-1.5,0.9666666666666667,0.7022642008069466
1,-1.5,1.0,0.8129289326134364
1,-1.45,-1.0,3.077105744057066
1,-1.45,-0.9666666666666667,3.006992336769309
1,-1.45,-0.9333333333333333,2.936464923648117
1,-1.45,-0.9,2.865542485633114
1,-1.45,-0.8666666666666667,2.7942456727379774
1,-1.45,-0.8333333333333334,2.72259691193443
1,-1.45,-0.8,2.6506205219140453
1,-1.45,-0.7666666666666667,2.5783428351881934
1,-1.45,-0.7333333333333333,2.50579232801957
1,-1.45,-0.7,2.4329997587143013
1,-1.45,-0.6666666666666666,2.3599983148422226
1,-1.45,-0.6333333333333333,2.2868237699941782
1,-1.45,-0.6,2.2135146507301435
1,-1.45,-0.5666666666666667,2.1401124144202086
1,-1.45,-0.5333333333333333,2.0666616387326333
1,-1.45,-0.5,1.9932102235797555
1,-1.45,-0.4666666666666667,1.9198096063934385
1,-1.45,-0.43333333333333335,1.846514991667856
1,-1.45,-0.4,1.7733855957788918
1,-1.45,-0.36666666666666664,1.7004849081668796
1,-1.45,-0.3333333333333333,1.627880970053298
1,-1.45,-0.3,1.5556466719530673
1,-1.45,-0.26666666666666666,1.4838600713428343
1,-1.45,-0.23333333333333334,1.4126047319527795
1,-1.45,-0.2,1.3419700862658994
1,-1.45,-0.16666666666666666,1.2720518229352764
1,-1.45,-0.13333333333333333,1.202952300967415
1,-1.45,-0.1,1.1347809926694477
1,-1.45,-0.06666666666666667,1.0676549575210874
1,-1.45,-0.03333333333333333,1.001699349309792
1,-1.45,0.0,0.9370479590612858
1,-1.45,0.03333333333333333,0.8738437965089041
1,-1.45,0.06666666666666667,0.8122397130758301
1,-1.45,0.1,0.7523990695963702
1,-1.45,0.13333333333333333,0.6944964522778523
1,-1.45,0.16666666666666666,0.6387184407061731
1,-1.45,0.2,0.5852644320280121
1,-1.45,0.23333333333333334,0.534347525804276
1,-1.45,0.26666666666666666,0.48619547442579275
1,-1.45,0.3,0.4410517044173177
1,-1.45,0.3333333333333333,0.3991764144336676
1,-1.45,0.36666666666666664,0.36084775627693033
1,-1.45,0.4,0.3263631058413115
1,-1.45,0.43333333333333335,0.2960404315281394
1,-1.45,0.4666666666666667,0.2702197683752254
1,-1.45,0.5,0.2492763593629123
1,-1.45,0.5333333333333333,0.23384238439381577
1,-1.45,0.5666666666666667,0.22409100034175683
1,-1.45,0.6,0.2204561460002113
1,-1.45,0.6333333333333333,0.22341468296164665
1,-1.45,0.6666666666666666,0.23347717413008354
1,-1.45,0.7,0.2511904049431583
1,-1.45,0.7333333333333333,0.2771401121359536
1,-1.45,0.7666666666666667,0.31195393907394015
1,-1.45,0.8,0.35630463863021394
1,-1.45,0.8333333333333334,0.4109135467506752
1,-1.45,0.8666666666666667,0.4765543522688555
1,-1.45,0.9,0.5540571912314838
1,-1.45,0.9333333333333333,0.6443130970129648
1,-1.45,0.9666666666666667,0.7482788408729951
1,-1.45,1.0,0.86698220139409
1,-1.4,-1.0,3.017163587270813
1,-1.4,-0.9666666666666667,2.946865673649346
1,-1.4,-0.9333333333333333,2.8761693538730206
1,-1.4,-0.9,2.805094637993782
1,-1.4,-0.8666666666666667,2.733663262751981
1,-1.4,-0.8333333333333334,2.661898802804333
1,-1.4,-0.8,2.589826789038908
1,-1.4,-0.7666666666666667,2.5174748344517295
1,-1.4,-0.7333333333333333,2.4448727680937585
1,-1.4,-0.7,2.372052777633777
1,-1.4,-0.6666666666666666,2.2990495611224415
1,-1.4,-0.6333333333333333,2.2259004885855185
1,-1.4,-0.6,2.1526457741205833
1,-1.4,-0.5666666666666667,2.079328659221393
1,-1.4,-0.5333333333333333,2.0059956081080106
1,-1.4,-0.5,1.9326965158991642
1,-1.4,-0.4666666666666667,1.859484930526298
1,-1.4,-0.43333333333333335,1.7864182893570753
1,-1.4,-0.4,1.713558171569976
1,-1.4,-0.36666666666666664,1.6409705674016417
