start_index,direction,t,ratio
1,1,0.0,1.0000000000000118
1,1,0.1,0.8749190664826719
1,1,0.2,0.779003875682593
1,1,0.3,0.7064464691067284
1,1,0.4,0.6519476013372284
1,1,0.5,0.6110191047312477
1,1,0.6,0.5800760318287917
1,1,0.7,0.556382190121403
1,1,0.8,0.5379174997435565
1,1,0.9,0.5232231437715626
1,1,1.0,0.5112586892677471
1,1,1.1,0.5012856103928719
1,1,1.2,0.4927791126454732
1,1,1.3,0.48536433820149294
1,1,1.4,0.4787714261551475
1,1,1.5,0.4728042938307524
1,1,1.6,0.46731905907909604
1,1,1.7,0.4622091082425164
1,1,1.8,0.457394705872222
1,1,1.9,0.45281570422825057
1,1,2.0,0.44842637632426513
1,1,2.1,0.4441917142419886
1,1,2.2,0.44008474810859766
1,1,2.3,0.43608458371513087
1,1,2.4,0.43217495187503796
1,1,2.5,0.4283431263238053
1,1,2.6,0.42457910991747205
1,1,2.7,0.4208750181489342
1,1,2.8,0.41722460912388454
1,1,2.9,0.41362292316860955
1,1,3.0,0.4100660051057422
1,1,3.1,0.40655068928915816
1,1,3.2,0.4030744325546337
1,1,3.3,0.39963518394719016
1,1,3.4,0.3962312828016352
1,1,3.5,0.39286137877513577
1,1,3.6,0.3895243689307466
1,1,3.7,0.38621934811902947
1,1,3.8,0.3829455697511511
1,1,3.9,0.37970241472126004
1,1,4.0,0.3764893667363966
1,1,4.1,0.3733059926909588
1,1,4.2,0.37015192702844085
1,1,4.3,0.36702685925839174
1,1,4.4,0.36393052397208675
1,1,4.5,0.3608626928501251
1,1,4.6,0.357823168249316
1,1,4.7,0.3548117780550876
1,1,4.8,0.35182837154169133
1,1,4.9,0.3488728160420028
1,1,5.0,0.34594499426349146
1,1,5.1,0.3430448021293984
1,1,5.2,0.34017214703493037
1,1,5.3,0.3373269464462859
1,1,5.4,0.3345091267708805
1,1,5.5,0.3317186224520029
1,1,5.6,0.32895537524069446
1,1,5.7,0.3262193336174333
1,1,5.8,0.3235104523314832
1,1,5.9,0.32082869203862585
1,1,6.0,0.3181740190201388
1,1,6.1,0.3155464049673903
1,1,6.2,0.312945826819323
1,1,6.3,0.3103722666501019
1,1,6.4,0.30782571159032956
1,1,6.5,0.3053061537805103
1,1,6.6,0.3028135903547292
1,1,6.7,0.30034802344333844
1,1,6.8,0.2979094601967959
1,1,6.9,0.2954979128265212
1,1,7.0,0.29311339866040625
1,1,7.1,0.29075594021236373
1,1,7.2,0.28842556526146496
1,1,7.3,0.28612230694375346
1,1,7.4,0.2838462038527613
1,1,7.5,0.28159730015004686
1,1,7.6,0.2793756456832456
1,1,7.7,0.27718129611422143
1,1,7.8,0.275014313052716
1,1,7.9,0.2728747641992542
1,1,8.0,0.2707627234978361
1,1,8.1,0.2686782712917367
1,1,8.2,0.26662149449245415
1,1,8.3,0.26459248675299424
1,1,8.4,0.26259134865008493
1,1,8.5,0.26061818787736774
1,1,8.6,0.25867311944399607
1,1,8.7,0.2567562658843289
1,1,8.8,0.25486775747551904
1,1,8.9,0.25300773246920577
1,1,9.0,0.25117633732720995
1,1,9.1,0.24937372697362353
1,1,9.2,0.24760006505694387
1,1,9.3,0.2458555242236976
1,1,9.4,0.24414028640327723
1,1,9.5,0.24245454311221948
1,1,9.6,0.2407984957672632
1,1,9.7,0.23917235601584416
1,1,9.8,0.23757634608454584
1,1,9.9,0.2360106991418706
1,1,10.0,0.23447565968301917
1,2,0.0,1.0000000000000024
1,2,0.1,1.0015450065387634
1,2,0.2,1.003258482371934
1,2,0.3,1.0039107665673996
1,2,0.4,1.0030858057139764
1,2,0.5,1.0007798986186764
1,2,0.6,0.997168773263742
1,2,0.7,0.9924840878134211
1,2,0.8,0.9869539940220236
1,2,0.9,0.9807785407914958
1,2,1.0,0.9741227505152775
1,2,1.1,0.9671178880908172
1,2,1.2,0.9598659618135159
1,2,1.3,0.9524450148288272
1,2,1.4,0.9449141105493079
1,2,1.5,0.9373176013430343
1,2,1.6,0.9296885994099156
