shard 1/12: 33 of 394 jobs
[1] 1/33 schedule/dense/seed2 done, 88.0 s
[1] 2/33 main/propagate/seed6 done, 118.0 s
[1] 3/33 main/reset/seed2 done, 148.0 s
[1] 4/33 penalty/propagate_graded/seed6 done, 178.0 s
[1] 5/33 optimizer/bfgs_propagate/seed2 done, 208.0 s
[1] 6/33 optimizer/bfgs_reset/seed6 done, 211.0 s
[1] 7/33 optimizer/lbfgs_reset/seed2 done, 1010.0 s
[1] 8/33 noise/propagate/seed2 done, 1023.0 s
[1] 9/33 noise/propagate/seed2 done, 1037.0 s
[1] 10/33 noise/propagate/seed2 done, 1050.0 s
[1] 11/33 noise/propagate/seed2 done, 1063.0 s
[1] 12/33 noise/propagate/seed2 done, 1076.0 s
[1] 13/33 noise/propagate/seed2 done, 1090.0 s
[1] 14/33 sparsity/propagate/seed2 done, 1103.0 s
[1] 15/33 sparsity/propagate/seed2 done, 1116.0 s
[1] 16/33 sparsity/propagate/seed2 done, 1129.0 s
[1] 17/33 iters/it2500/seed2 done, 1142.0 s
[1] 18/33 substeps/S5/seed2 done, 1149.0 s
[1] 19/33 schedule/coarse/seed2 done, 1157.0 s
[1] 20/33 schedule/jump/seed2 done, 1160.0 s
[1] 21/33 basin/k1/seed2 done, 1162.0 s
[1] 22/33 basin/k1/seed4 done, 1164.0 s
[1] 23/33 basin/k1/seed6 done, 1166.0 s
[1] 24/33 basin/k1/seed8 done, 1167.0 s
[1] 25/33 basin/k1/seed10 done, 1169.0 s
[1] 26/33 basin/k5/seed2 done, 1171.0 s
[1] 27/33 basin/k5/seed4 done, 1173.0 s
[1] 28/33 basin/k5/seed6 done, 1173.0 s
[1] 29/33 basin/k5/seed8 done, 1175.0 s
[1] 30/33 basin/k100/seed10 done, 1177.0 s
[1] 31/33 basin/k100/seed2 done, 1179.0 s
[1] 32/33 basin/k100/seed4 done, 1181.0 s
[1] 33/33 basin/k100/seed6 done, 1181.0 s
shard 1 done in 1181.0 s
