shard 3/12: 33 of 394 jobs
[3] 1/33 schedule/dense/seed4 done, 89.0 s
[3] 2/33 main/propagate/seed8 done, 119.0 s
[3] 3/33 main/reset/seed4 done, 149.0 s
[3] 4/33 penalty/propagate_graded/seed8 done, 178.0 s
[3] 5/33 optimizer/bfgs_propagate/seed4 done, 210.0 s
[3] 6/33 optimizer/bfgs_reset/seed8 done, 310.0 s
[3] 7/33 optimizer/lbfgs_reset/seed4 done, 1050.0 s
[3] 8/33 noise/propagate/seed4 done, 1063.0 s
[3] 9/33 noise/propagate/seed4 done, 1077.0 s
[3] 10/33 noise/propagate/seed4 done, 1090.0 s
[3] 11/33 noise/propagate/seed4 done, 1103.0 s
[3] 12/33 noise/propagate/seed4 done, 1116.0 s
[3] 13/33 noise/propagate/seed4 done, 1130.0 s
[3] 14/33 sparsity/propagate/seed4 done, 1143.0 s
[3] 15/33 sparsity/propagate/seed4 done, 1157.0 s
[3] 16/33 sparsity/propagate/seed4 done, 1170.0 s
[3] 17/33 iters/it2500/seed4 done, 1183.0 s
[3] 18/33 substeps/S5/seed4 done, 1190.0 s
[3] 19/33 schedule/coarse/seed4 done, 1198.0 s
[3] 20/33 schedule/jump/seed4 done, 1203.0 s
[3] 21/33 basin/k1/seed4 done, 1204.0 s
[3] 22/33 basin/k1/seed6 done, 1206.0 s
[3] 23/33 basin/k1/seed8 done, 1208.0 s
[3] 24/33 basin/k1/seed10 done, 1210.0 s
[3] 25/33 basin/k5/seed2 done, 1212.0 s
[3] 26/33 basin/k5/seed4 done, 1213.0 s
[3] 27/33 basin/k5/seed6 done, 1215.0 s
[3] 28/33 basin/k5/seed8 done, 1217.0 s
[3] 29/33 basin/k5/seed10 done, 1219.0 s
[3] 30/33 basin/k100/seed2 done, 1221.0 s
[3] 31/33 basin/k100/seed4 done, 1223.0 s
[3] 32/33 basin/k100/seed6 done, 1225.0 s
[3] 33/33 basin/k100/seed8 done, 1227.0 s
shard 3 done in 1227.0 s
