shard 4/12: 33 of 394 jobs
[4] 1/33 schedule/dense/seed5 done, 90.0 s
[4] 2/33 main/best/seed1 done, 90.0 s
[4] 3/33 main/reset/seed5 done, 121.0 s
[4] 4/33 penalty/reset_graded/seed1 done, 150.0 s
[4] 5/33 optimizer/bfgs_propagate/seed5 done, 180.0 s
[4] 6/33 optimizer/lbfgs_propagate/seed1 done, 180.0 s
[4] 7/33 optimizer/lbfgs_reset/seed5 done, 696.0 s
[4] 8/33 noise/propagate/seed5 done, 710.0 s
[4] 9/33 noise/propagate/seed5 done, 723.0 s
[4] 10/33 noise/propagate/seed5 done, 737.0 s
[4] 11/33 noise/propagate/seed5 done, 751.0 s
[4] 12/33 noise/propagate/seed5 done, 764.0 s
[4] 13/33 noise/propagate/seed5 done, 777.0 s
[4] 14/33 sparsity/propagate/seed5 done, 791.0 s
[4] 15/33 sparsity/propagate/seed5 done, 804.0 s
[4] 16/33 sparsity/propagate/seed5 done, 818.0 s
[4] 17/33 substeps/S1/seed1 done, 819.0 s
[4] 18/33 substeps/S10/seed1 done, 819.0 s
[4] 19/33 schedule/coarse/seed5 done, 826.0 s
[4] 20/33 schedule/jump/seed5 done, 830.0 s
[4] 21/33 basin/k1/seed5 done, 832.0 s
[4] 22/33 basin/k1/seed7 done, 834.0 s
[4] 23/33 basin/k1/seed9 done, 836.0 s
[4] 24/33 basin/k1/seed1 done, 838.0 s
[4] 25/33 basin/k5/seed3 done, 840.0 s
[4] 26/33 basin/k5/seed5 done, 842.0 s
[4] 27/33 basin/k5/seed7 done, 843.0 s
[4] 28/33 basin/k5/seed9 done, 845.0 s
[4] 29/33 basin/k100/seed1 done, 847.0 s
[4] 30/33 basin/k100/seed3 done, 849.0 s
[4] 31/33 basin/k100/seed5 done, 852.0 s
[4] 32/33 basin/k100/seed7 done, 854.0 s
[4] 33/33 basin/k100/seed9 done, 856.0 s
shard 4 done in 856.0 s
