seed,kappa_from,kappa_to,s,J_next,J_prev
1,8,10,0.6,1000.0,1000.0
1,8,10,0.65,1000.0,1000.0
1,8,10,0.7,1000.0,1000.0
1,8,10,0.75,1000.0,1000.0
1,8,10,0.8,1000.0,1000.0
1,8,10,0.85,1000.0,1000.0
1,8,10,0.9,1000.0,1000.0
1,8,10,0.95,1000.0,1000.0
1,8,10,1.0,1000.0,1000.0
1,10,12,0.0,1000.0,1000.0
1,10,12,0.05,1000.0,1000.0
1,10,12,0.1,1000.0,1000.0
1,10,12,0.15,1000.0,1000.0
1,10,12,0.2,1000.0,1000.0
1,10,12,0.25,1000.0,1000.0
1,10,12,0.3,1000.0,1000.0
1,10,12,0.35,1000.0,1000.0
1,10,12,0.4,1000.0,1000.0
1,10,12,0.45,1000.0,1000.0
1,10,12,0.5,1000.0,1000.0
1,10,12,0.55,1000.0,1000.0
1,10,12,0.6,1000.0,1000.0
1,10,12,0.65,1000.0,1000.0
1,10,12,0.7,1000.0,1000.0
1,10,12,0.75,1000.0,1000.0
1,10,12,0.8,1000.0,1000.0
1,10,12,0.85,1000.0,1000.0
1,10,12,0.9,1000.0,1000.0
1,10,12,0.95,1000.0,1000.0
1,10,12,1.0,1000.0,1000.0
1,12,15,0.0,1000.0,1000.0
1,12,15,0.05,1000.0,1000.0
1,12,15,0.1,1000.0,1000.0
1,12,15,0.15,1000.0,1000.0
1,12,15,0.2,1000.0,1000.0
1,12,15,0.25,1000.0,1000.0
1,12,15,0.3,1000.0,1000.0
1,12,15,0.35,1000.0,1000.0
1,12,15,0.4,1000.0,1000.0
1,12,15,0.45,1000.0,1000.0
1,12,15,0.5,1000.0,1000.0
1,12,15,0.55,1000.0,1000.0
1,12,15,0.6,1000.0,1000.0
1,12,15,0.65,1000.0,1000.0
1,12,15,0.7,1000.0,1000.0
1,12,15,0.75,1000.0,1000.0
1,12,15,0.8,1000.0,1000.0
1,12,15,0.85,1000.0,1000.0
1,12,15,0.9,1000.0,1000.0
1,12,15,0.95,1000.0,1000.0
1,12,15,1.0,1000.0,1000.0
1,15,20,0.0,1000.0,1000.0
1,15,20,0.05,1000.0,1000.0
1,15,20,0.1,1000.0,1000.0
1,15,20,0.15,1000.0,1000.0
1,15,20,0.2,1000.0,1000.0
1,15,20,0.25,1000.0,1000.0
1,15,20,0.3,1000.0,1000.0
1,15,20,0.35,1000.0,1000.0
1,15,20,0.4,1000.0,1000.0
1,15,20,0.45,1000.0,1000.0
1,15,20,0.5,1000.0,1000.0
1,15,20,0.55,1000.0,1000.0
1,15,20,0.6,1000.0,1000.0
1,15,20,0.65,1000.0,1000.0
1,15,20,0.7,1000.0,1000.0
1,15,20,0.75,1000.0,1000.0
1,15,20,0.8,1000.0,1000.0
1,15,20,0.85,1000.0,1000.0
1,15,20,0.9,1000.0,1000.0
1,15,20,0.95,1000.0,1000.0
1,15,20,1.0,1000.0,1000.0
1,20,25,0.0,1000.0,1000.0
1,20,25,0.05,1000.0,1000.0
1,20,25,0.1,1000.0,1000.0
1,20,25,0.15,1000.0,1000.0
1,20,25,0.2,1000.0,1000.0
1,20,25,0.25,1000.0,1000.0
1,20,25,0.3,1000.0,1000.0
1,20,25,0.35,1000.0,1000.0
1,20,25,0.4,1000.0,1000.0
1,20,25,0.45,1000.0,1000.0
1,20,25,0.5,1000.0,1000.0
1,20,25,0.55,1000.0,1000.0
1,20,25,0.6,1000.0,1000.0
1,20,25,0.65,1000.0,1000.0
1,20,25,0.7,1000.0,1000.0
1,20,25,0.75,1000.0,1000.0
1,20,25,0.8,1000.0,1000.0
1,20,25,0.85,1000.0,1000.0
1,20,25,0.9,1000.0,1000.0
1,20,25,0.95,1000.0,1000.0
1,20,25,1.0,1000.0,1000.0
1,25,33,0.0,1000.0,1000.0
1,25,33,0.05,1000.0,1000.0
1,25,33,0.1,1000.0,1000.0
1,25,33,0.15,1000.0,1000.0
1,25,33,0.2,1000.0,1000.0
1,25,33,0.25,1000.0,1000.0
1,25,33,0.3,1000.0,1000.0
1,25,33,0.35,1000.0,1000.0
1,25,33,0.4,1000.0,1000.0
1,25,33,0.45,1000.0,1000.0
1,25,33,0.5,1000.0,1000.0
1,25,33,0.55,1000.0,1000.0
1,25,33,0.6,1000.0,1000.0
1,25,33,0.65,1000.0,1000.0
1,25,33,0.7,1000.0,1000.0
1,25,33,0.75,1000.0,1000.0
1,25,33,0.8,1000.0,1000.0
1,25,33,0.85,1000.0,1000.0
1,25,33,0.9,1000.0,1000.0
1,25,33,0.95,1000.0,1000.0
1,25,33,1.0,1000.0,1000.0
1,33,50,0.0,1000.0,1000.0
1,33,50,0.05,1000.0,1000.0
1,33,50,0.1,1000.0,1000.0
1,33,50,0.15,1000.0,1000.0
1,33,50,0.2,1000.0,1000.0
1,33,50,0.25,1000.0,1000.0
1,33,50,0.3,1000.0,1000.0
1,33,50,0.35,1000.0,1000.0
1,33,50,0.4,1000.0,1000.0
1,33,50,0.45,1000.0,1000.0
1,33,50,0.5,1000.0,1000.0
1,33,50,0.55,1000.0,1000.0
1,33,50,0.6,1000.0,1000.0
1,33,50,0.65,1000.0,1000.0
1,33,50,0.7,1000.0,1000.0
1,33,50,0.75,1000.0,1000.0
1,33,50,0.8,1000.0,1000.0
1,33,50,0.85,1000.0,1000.0
1,33,50,0.9,1000.0,1000.0
1,33,50,0.95,1000.0,1000.0
1,33,50,1.0,1000.0,1000.0
1,50,75,0.0,1000.0,1000.0
1,50,75,0.05,1000.0,1000.0
1,50,75,0.1,1000.0,1000.0
1,50,75,0.15,1000.0,1000.0
1,50,75,0.2,1000.0,1000.0
1,50,75,0.25,1000.0,1000.0
1,50,75,0.3,1000.0,1000.0
1,50,75,0.35,1000.0,1000.0
1,50,75,0.4,1000.0,1000.0
1,50,75,0.45,1000.0,1000.0
