shard 11/12: 32 of 394 jobs
[11] 1/32 main/propagate/seed4 done, 34.0 s
[11] 2/32 main/best/seed8 done, 64.0 s
[11] 3/32 penalty/propagate_graded/seed4 done, 95.0 s
[11] 4/32 penalty/reset_graded/seed8 done, 124.0 s
[11] 5/32 optimizer/bfgs_reset/seed4 done, 447.0 s
[11] 6/32 optimizer/lbfgs_propagate/seed8 done, 1267.0 s
[11] 7/32 iters/it5000/seed4 done, 1291.0 s
[11] 8/32 noise/reset/seed6 done, 1293.0 s
[11] 9/32 noise/reset/seed6 done, 1294.0 s
[11] 10/32 noise/reset/seed6 done, 1296.0 s
[11] 11/32 noise/reset/seed6 done, 1298.0 s
[11] 12/32 noise/reset/seed6 done, 1300.0 s
[11] 13/32 noise/reset/seed6 done, 1302.0 s
[11] 14/32 sparsity/propagate/seed6 done, 1315.0 s
[11] 15/32 sparsity/propagate/seed6 done, 1329.0 s
[11] 16/32 sparsity/propagate/seed6 done, 1341.0 s
[11] 17/32 substeps/S2/seed4 done, 1344.0 s
[11] 18/32 substeps/S20/seed4 done, 1371.0 s
[11] 19/32 iters/it1000/seed4 done, 1376.0 s
[11] 20/32 iters/it500/seed4 done, 1380.0 s
[11] 21/32 basin/k1/seed2 done, 1382.0 s
[11] 22/32 basin/k1/seed4 done, 1384.0 s
[11] 23/32 basin/k1/seed6 done, 1385.0 s
[11] 24/32 basin/k1/seed8 done, 1387.0 s
[11] 25/32 basin/k5/seed10 done, 1389.0 s
[11] 26/32 basin/k5/seed2 done, 1391.0 s
[11] 27/32 basin/k5/seed4 done, 1393.0 s
[11] 28/32 basin/k5/seed6 done, 1393.0 s
[11] 29/32 basin/k100/seed8 done, 1395.0 s
[11] 30/32 basin/k100/seed10 done, 1397.0 s
[11] 31/32 basin/k100/seed2 done, 1400.0 s
[11] 32/32 basin/k100/seed4 done, 1402.0 s
shard 11 done in 1402.0 s
