exp,arm,seed,mode,optimizer,iters,gamma,S,penalty,noise,schedule,radius,n_steps,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,45,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0003349781036376953,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,50,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.000286102294921875,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,55,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028896331787109375,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,60,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.000286102294921875,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,65,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002880096435546875,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,70,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028395652770996094,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,75,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028395652770996094,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,80,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002930164337158203,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,85,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028896331787109375,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,90,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002880096435546875,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,95,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028705596923828125,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,100,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002808570861816406,24,0,true,true,1.840755564960906
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,1,0.018331861969618377,0.32025130943070534,0.65,0.5714285714285714,4,1.7442140579223633,3096,2500,false,false,1.6514587340395241
