shard 2/12: 33 of 394 jobs
[2] 1/33 schedule/dense/seed3 done, 89.0 s
[2] 2/33 main/propagate/seed7 done, 119.0 s
[2] 3/33 main/reset/seed3 done, 148.0 s
[2] 4/33 penalty/propagate_graded/seed7 done, 178.0 s
[2] 5/33 optimizer/bfgs_propagate/seed3 done, 208.0 s
[2] 6/33 optimizer/bfgs_reset/seed7 done, 480.0 s
[2] 7/33 optimizer/lbfgs_reset/seed3 done, 631.0 s
[2] 8/33 noise/propagate/seed3 done, 645.0 s
[2] 9/33 noise/propagate/seed3 done, 658.0 s
[2] 10/33 noise/propagate/seed3 done, 671.0 s
[2] 11/33 noise/propagate/seed3 done, 685.0 s
[2] 12/33 noise/propagate/seed3 done, 699.0 s
[2] 13/33 noise/propagate/seed3 done, 713.0 s
[2] 14/33 sparsity/propagate/seed3 done, 726.0 s
[2] 15/33 sparsity/propagate/seed3 done, 740.0 s
[2] 16/33 sparsity/propagate/seed3 done, 753.0 s
[2] 17/33 iters/it2500/seed3 done, 767.0 s
[2] 18/33 substeps/S5/seed3 done, 774.0 s
[2] 19/33 schedule/coarse/seed3 done, 781.0 s
[2] 20/33 schedule/jump/seed3 done, 785.0 s
[2] 21/33 basin/k1/seed3 done, 787.0 s
[2] 22/33 basin/k1/seed5 done, 789.0 s
[2] 23/33 basin/k1/seed7 done, 791.0 s
[2] 24/33 basin/k1/seed9 done, 792.0 s
[2] 25/33 basin/k5/seed1 done, 794.0 s
[2] 26/33 basin/k5/seed3 done, 796.0 s
[2] 27/33 basin/k5/seed5 done, 798.0 s
[2] 28/33 basin/k5/seed7 done, 798.0 s
[2] 29/33 basin/k5/seed9 done, 798.0 s
[2] 30/33 basin/k100/seed1 done, 800.0 s
[2] 31/33 basin/k100/seed3 done, 802.0 s
[2] 32/33 basin/k100/seed5 done, 804.0 s
[2] 33/33 basin/k100/seed7 done, 807.0 s
shard 2 done in 807.0 s
