direction,window_size,s,J
1,1,0.12,0.043948246408881966
1,1,0.13,0.04808035137983465
1,1,0.14,0.05245929460394924
1,1,0.15,0.05707615723596164
1,1,0.16,0.06192247228549819
1,1,0.17,0.06699019288184861
1,1,0.18,0.07227166337640084
1,1,0.19,0.07775959292501129
1,1,0.2,0.083447031267607
1,1,0.21,0.08932734647201024
1,1,0.22,0.09539420444430516
1,1,0.23,0.10164155003475112
1,1,0.24,0.10806358958939476
1,1,0.25,0.11465477481490706
1,1,0.26,0.12140978783880602
1,1,0.27,0.1283235273597821
1,1,0.28,0.1353910957937444
1,1,0.29,0.1426077873307528
1,1,0.3,0.14996907682640892
1,1,0.31,0.15747060945873032
1,1,0.32,0.16510819108813668
1,1,0.33,0.17287777926407077
1,1,0.34,0.1807754748270296
1,1,0.35,0.18879751405948425
1,1,0.36,0.19694026134338213
1,1,0.37,0.20520020228570005
1,1,0.38,0.21357393727692586
1,1,0.39,0.22205817545040385
1,1,0.4,0.23064972901323447
1,1,0.41,0.23934550792192358
1,1,0.42,0.24814251487822156
1,1,0.43,0.2570378406226349
1,1,0.44,0.2660286595049509
1,1,0.45,0.2751122253127865
1,1,0.46,0.2842858673407075
1,1,0.47,0.29354698668385254
1,1,0.48,0.30289305274125927
1,1,0.49,0.31232159991525893
1,1,0.5,0.3218302244943486
1,1,0.51,0.33141658170793575
1,1,0.52,0.3410783829422317
1,1,0.53,0.35081339310739973
1,1,0.54,0.360619428146829
1,1,0.55,0.37049435268012704
1,1,0.56,0.380436077772096
1,1,0.57,0.39044255882063994
1,1,0.58,0.4005117935571977
1,1,0.59,0.4106418201539904
1,1,0.6,0.4208307154331253
1,1,0.61,0.43107659317345703
1,1,0.62,0.4413776025121501
1,1,0.63,0.45173192643923404
1,1,0.64,0.46213778038519815
1,1,0.65,0.4725934109040965
1,1,0.66,0.483097094457943
1,1,0.67,0.4936471363127977
1,1,0.68,0.5042418695632085
1,1,0.69,0.5148796543100131
1,1,0.7,0.525558877026896
1,1,0.71,0.5362779501625272
1,1,0.72,0.5470353120340271
1,1,0.73,0.5578294270649856
1,1,0.74,0.568658786388403
1,1,0.75,0.5795219087375737
1,1,0.76,0.5904173413373868
1,1,0.77,0.6013436601467996
1,1,0.78,0.6122994683453599
1,1,0.79,0.6232833916973715
1,1,0.8,0.6342940699703442
1,1,0.81,0.645330145451461
1,1,0.82,0.6563902522115984
1,1,0.83,0.6674730109093628
1,1,0.84,0.6785770316729812
1,1,0.85,0.6897009232079239
1,1,0.86,0.7008433034629882
1,1,0.87,0.7120028078295253
1,1,0.88,0.7231780933928936
1,1,0.89,0.734367839836755
1,1,0.9,0.7455707483476819
1,1,0.91,0.7567855396956503
1,1,0.92,0.7680109522121116
1,1,0.93,0.7792457400007633
1,1,0.94,0.7904886714813402
1,1,0.95,0.801738528253734
1,1,0.96,0.8129941042286865
1,1,0.97,0.8242542049652047
1,1,0.98,0.8355176471625326
1,1,0.99,0.8467832582657349
1,1,1.0,0.8580498761544678
1,1,1.01,0.8693163488930441
1,1,1.02,0.880581534526323
1,1,1.03,0.8918443009105809
1,1,1.04,0.9031035255718259
1,1,1.05,0.9143580955862805
1,1,1.06,0.925606907479346
1,1,1.07,0.9368488671404561
1,1,1.08,0.9480828897519397
1,1,1.09,0.9593078997305744
1,1,1.1,0.9705228306808034
1,1,1.11,0.9817266253588738
1,1,1.12,0.9929182356473202
1,1,1.13,1.0040966225392898
1,1,1.14,1.0152607561323574
1,1,1.15,1.0264096156314733
1,1,1.16,1.037542189360762
1,1,1.17,1.048657474783909
1,1,1.18,1.0597544785328945
1,1,1.19,1.0708322164448412
1,1,1.2,1.0818897136067585
1,1,1.21,1.0929260044079672
1,1,1.22,1.1039401325999836
1,1,1.23,1.1149311513636575
1,1,1.24,1.125898123383328
1,1,1.25,1.1368401209277972
1,1,1.26,1.1477562259378529
1,1,1.27,1.1586455301201348
1,1,1.28,1.169507135047069
1,1,1.29,1.1803401522626178
1,1,1.3,1.1911437033935748
1,1,1.31,1.2019169202661075
1,1,1.32,1.2126589450272505
1,1,1.33,1.2233689302710502
1,1,1.34,1.2340460391690014
1,1,1.35,1.2446894456044804
1,1,1.36,1.2552983343107589
1,1,1.37,1.2658719010122947
1,1,1.38,1.2764093525688653
1,1,1.39,1.28690990712217
1,1,1.4,1.2973727942444968
1,1,1.41,1.307797255089024
1,1,1.42,1.3181825425413367
1,1,1.43,1.328527921371708
1,1,1.44,1.3388326683877187
1,1,1.45,1.3490960725867314
1,1,1.46,1.3593174353078021
1,1,1.47,1.3694960703825207
1,1,1.48,1.37963130428435
1,1,1.49,1.3897224762759954
1,1,1.5,1.3997689385543088
1,1,1.51,1.409770056392314
1,1,1.52,1.41972520827785
1,1,1.53,1.4296337860484154
1,1,1.54,1.4394951950217456
1,1,1.55,1.449308854121709
1,1,1.56,1.4590741959990774
1,1,1.57,1.4687906671467799
1,1,1.58,1.4784577280092233
1,1,1.59,1.4880748530853234
1,1,1.6,1.4976415310248508
1,1,1.61,1.5071572647177731
1,1,1.62,1.5166215713762532
1,1,1.63,1.5260339826089888
1,1,1.64,1.5353940444876337
1,1,1.65,1.5447013176050095
1,1,1.66,1.55395537712489
1,1,1.67,1.5631558128231313
1,1,1.68,1.57230222911996
1,1,1.69,1.58139424510325
1,1,1.7,1.590431494542655
1,1,1.71,1.5994136258944718
1,1,1.72,1.6083403022971552
1,1,1.73,1.6172112015573938
1,1,1.74,1.626026016126764
1,1,1.75,1.6347844530690008
1,1,1.76,1.643486234019666
1,1,1.77,1.652131095165463
1,1,1.78,1.6607187876712017
1,1,1.79,1.669249085277738
1,1,1.8,1.6777219035109707
1,1,1.81,1.6861389072388444
1,1,1.82,1.6945097511610752
1,1,1.83,1.7028338970591288
1,1,1.84,1.7111015438627142
1,1,1.85,1.7193108069085719
1,1,1.86,1.7274614242519537
1,1,1.87,1.7355532643605258
1,1,1.88,1.7435862165651306
1,1,1.89,1.751560183878952
1,1,1.9,1.7594750823889933
1,1,1.91,1.7673308410595232
1,1,1.92,1.7751274015556604
1,1,1.93,1.7828647180624693
1,1,1.94,1.7905427570983101
1,1,1.95,1.79816149732268
1,1,1.96,1.8057209293388505
1,1,1.97,1.8132210554916808
1,1,1.98,1.820661889660924
1,1,1.99,1.8280434570503972
1,1,2.0,1.8353657939733827
1,2,-2.0,1000.0
1,2,-1.99,1000.0
1,2,-1.98,1000.0
1,2,-1.97,1000.0
1,2,-1.96,1000.0
1,2,-1.95,1000.0
1,2,-1.94,1000.0
1,2,-1.93,1000.0
1,2,-1.92,1000.0
1,2,-1.91,1000.0
1,2,-1.9,1000.0
1,2,-1.89,1000.0
1,2,-1.88,1000.0
1,2,-1.87,1000.0
1,2,-1.86,1000.0
1,2,-1.85,1000.0
1,2,-1.84,1000.0
1,2,-1.83,1000.0
1,2,-1.82,1000.0
1,2,-1.81,1000.0
1,2,-1.8,1000.0
1,2,-1.79,1000.0
1,2,-1.78,1000.0
1,2,-1.77,1000.0
1,2,-1.76,1000.0
1,2,-1.75,1000.0
1,2,-1.74,1000.0
1,2,-1.73,1000.0
1,2,-1.72,1000.0
1,2,-1.71,1000.0
