window_size,dp_x2,dp_xy,J
1,-0.6,-1.5,4.092969016140008
1,-0.6,-1.485625,4.069553180414735
1,-0.6,-1.47125,4.046066824501765
1,-0.6,-1.456875,4.0225102802873165
1,-0.6,-1.4425,3.9988838944449614
1,-0.6,-1.428125,3.975188028760519
1,-0.6,-1.41375,3.951423060463162
1,-0.6,-1.399375,3.9275893825629242
1,-0.6,-1.385,3.903687404194633
1,-0.6,-1.370625,3.8797175509684783
1,-0.6,-1.35625,3.8556802653272606
1,-0.6,-1.341875,3.8315760069104927
1,-0.6,-1.3275,3.807405252925448
1,-0.6,-1.313125,3.783168498525282
1,-0.6,-1.29875,3.7588662571943665
1,-0.6,-1.284375,3.734499061140958
1,-0.6,-1.27,3.7100674616973364
1,-0.6,-1.255625,3.685572029727534
1,-0.6,-1.24125,3.6610133560428038
1,-0.6,-1.226875,3.636392051824971
1,-0.6,-1.2125,3.611708749057789
1,-0.6,-1.198125,3.5869641009664583
1,-0.6,-1.18375,3.5621587824654415
1,-0.6,-1.169375,3.5372934906147275
1,-0.6,-1.155,3.5123689450847104
1,-0.6,-1.140625,3.4873858886298064
1,-0.6,-1.12625,3.4623450875709842
1,-0.6,-1.111875,3.4372473322873476
1,-0.6,-1.0975,3.4120934377169716
1,-0.6,-1.083125,3.386884243867118
1,-0.6,-1.06875,3.3616206163339704
1,-0.6,-1.054375,3.3363034468321504
1,-0.6,-1.04,3.3109336537340948
1,-0.6,-1.025625,3.285512182619494
1,-0.6,-1.01125,3.2600400068350064
1,-0.6,-0.996875,3.23451812806438
1,-0.6,-0.9825,3.208947576909171
1,-0.6,-0.968125,3.183329413480291
1,-0.6,-0.95375,3.157664728000518
1,-0.6,-0.939375,3.1319546414181794
1,-0.6,-0.925,3.1062003060322145
1,-0.6,-0.910625,3.080402906128821
1,-0.6,-0.89625,3.0545636586298426
1,-0.6,-0.881875,3.028683813753174
1,-0.6,-0.8675,3.0027646556853194
1,-0.6,-0.853125,2.9768075032663734
1,-0.6,-0.83875,2.9508137106875973
1,-0.6,-0.824375,2.9247846682018515
1,-0.6,-0.81,2.8987218028470627
1,-0.6,-0.795625,2.8726265791829984
1,-0.6,-0.78125,2.8465005000415182
1,-0.6,-0.766875,2.820345107290619
1,-0.6,-0.7525,2.7941619826124335
1,-0.6,-0.738125,2.767952748295456
1,-0.6,-0.72375,2.7417190680412626
1,-0.6,-0.709375,2.7154626477859347
1,-0.6,-0.695,2.6891852365364577
1,-0.6,-0.680625,2.662888627222371
1,-0.6,-0.66625,2.6365746575628917
1,-0.6,-0.651875,2.6102452109498206
1,-0.6,-0.6375,2.583902217346467
1,-0.6,-0.623125,2.5575476542028968
1,-0.6,-0.60875,2.531183547387747
1,-0.6,-0.594375,2.504811972136932
1,-0.6,-0.58,2.4784350540195046
1,-0.6,-0.565625,2.452054969920972
1,-0.6,-0.55125,2.4256739490443584
1,-0.6,-0.536875,2.399294273929344
1,-0.6,-0.5225,2.3729182814897394
1,-0.6,-0.508125,2.3465483640696654
1,-0.6,-0.49375,2.3201869705187144
1,-0.6,-0.479375,2.293836607286428
1,-0.6,-0.465,2.2674998395364483
1,-0.6,-0.450625,2.2411792922806173
1,-0.6,-0.43625,2.2148776515334214
1,-0.6,-0.421875,2.1885976654871064
1,-0.6,-0.4075,2.162342145707792
1,-0.6,-0.393125,2.1361139683529826
1,-0.6,-0.37875,2.1099160754108057
1,-0.6,-0.364375,2.0837514759613613
1,-0.6,-0.35,2.0576232474605334
