plane,window_size,f_blow,basin,J_min,J_max
v_v3,1,0.375974200483741,0.009406073636119323,0.01773109828394226,388.5051779119847
v_v3,2,0.3867239989250202,0.005643644181671593,0.020915482849303117,41.717715932640814
v_v3,3,0.389142703574308,0.00429991937651169,0.021823148670987533,44.48770360093002
v_v3,4,0.388605213652244,0.002418704649287826,0.018745303613809015,50.587022121781054
v_v3,5,0.38941144853533993,0.0018812147272238647,0.020895430727674334,53.685820124639605
v_v3,6,0.38994893845740397,0.0026874496103198066,0.06429552157442135,52.6256650485879
v_v3,8,0.38968019349637195,0.0008062348830959419,0.022962069289866327,56.53061257314543
v_v3,10,0.38968019349637195,0.0008062348830959419,0.01543365226590483,63.55358758459796
v_v3,12,0.38994893845740397,0.002149959688255845,0.04031659709999312,61.83133614791282
v_v3,15,0.38994893845740397,0.0005374899220639613,0.01920165040126555,75.09684672057682
v_v3,20,0.38968019349637195,0.0013437248051599033,0.01940981575471948,69.37516490469092
v_v3,25,0.38994893845740397,0.0002687449610319806,0.020700188701984125,84.82564274429977
v_v3,33,0.38994893845740397,0.0002687449610319806,0.02275075821180186,91.30808827179486
v_v3,50,0.38968019349637195,0.0002687449610319806,0.02728570980472099,79.77226960365869
v_v3,75,0.38994893845740397,0.0002687449610319806,0.016796329228972662,89.39940269921502
v_v3,100,0.38968019349637195,0.0002687449610319806,0.017576201469118733,83.01556054336919
v_v2,1,0.0,0.017737167428110722,0.01773109828394226,3.9814245251158797
v_v2,2,0.0,0.011018543402311207,0.020915482849303117,4.487247232896193
v_v2,3,0.0,0.0064498790647675355,0.021600168216777987,4.571463323342121
v_v2,4,0.0,0.002956194571351787,0.018745303613809015,5.708914694601153
v_v2,5,0.0,0.002956194571351787,0.020895430727674334,6.584121790218478
v_v2,6,0.0,0.002956194571351787,0.0659221796346936,6.5338731534958265
v_v2,8,0.0,0.0013437248051599033,0.022962069289866327,6.515411698728905
v_v2,10,0.0,0.0008062348830959419,0.01543365226590483,10.164417664502087
v_v2,12,0.0,0.0008062348830959419,0.02214935682868552,8.988927544683698
v_v2,15,0.0,0.0005374899220639613,0.017982285097986803,11.78378853429971
v_v2,20,0.0,0.00403117441547971,0.01921919043197555,13.947963396425546
v_v2,25,0.0,0.0008062348830959419,0.014443610769901643,15.499640267461768
v_v2,33,0.0,0.0018812147272238647,0.021844397661316947,19.742443510880587
v_v2,50,0.0,0.0008062348830959419,0.016229672943782657,16.91609766565791
v_v2,75,0.0,0.0018812147272238647,0.016796329228972662,16.09844342733453
v_v2,100,0.0,0.0016124697661918839,0.017576201469118733,18.05201286133963
