shard 6/12: 33 of 394 jobs
[6] 1/33 schedule/dense/seed7 done, 89.0 s
[6] 2/33 main/best/seed3 done, 120.0 s
[6] 3/33 main/reset/seed7 done, 150.0 s
[6] 4/33 penalty/reset_graded/seed3 done, 180.0 s
[6] 5/33 optimizer/bfgs_propagate/seed7 done, 211.0 s
[6] 6/33 optimizer/lbfgs_propagate/seed3 done, 1003.0 s
[6] 7/33 optimizer/lbfgs_reset/seed7 done, 1862.0 s
[6] 8/33 noise/reset/seed1 done, 1862.0 s
[6] 9/33 noise/reset/seed1 done, 1862.0 s
[6] 10/33 noise/reset/seed1 done, 1862.0 s
[6] 11/33 noise/reset/seed1 done, 1862.0 s
[6] 12/33 noise/reset/seed1 done, 1862.0 s
[6] 13/33 noise/reset/seed1 done, 1862.0 s
[6] 14/33 sparsity/propagate/seed1 done, 1862.0 s
[6] 15/33 sparsity/propagate/seed1 done, 1862.0 s
[6] 16/33 sparsity/propagate/seed1 done, 1862.0 s
[6] 17/33 substeps/S1/seed3 done, 1864.0 s
[6] 18/33 substeps/S10/seed3 done, 1876.0 s
[6] 19/33 schedule/coarse/seed7 done, 1884.0 s
[6] 20/33 schedule/jump/seed7 done, 1888.0 s
[6] 21/33 basin/k1/seed7 done, 1890.0 s
[6] 22/33 basin/k1/seed9 done, 1891.0 s
[6] 23/33 basin/k1/seed1 done, 1893.0 s
[6] 24/33 basin/k1/seed3 done, 1895.0 s
[6] 25/33 basin/k5/seed5 done, 1897.0 s
[6] 26/33 basin/k5/seed7 done, 1898.0 s
[6] 27/33 basin/k5/seed9 done, 1900.0 s
[6] 28/33 basin/k5/seed1 done, 1900.0 s
[6] 29/33 basin/k100/seed3 done, 1902.0 s
[6] 30/33 basin/k100/seed5 done, 1904.0 s
[6] 31/33 basin/k100/seed7 done, 1907.0 s
[6] 32/33 basin/k100/seed9 done, 1909.0 s
[6] 33/33 iters/it250/seed1 done, 1909.0 s
shard 6 done in 1909.0 s
