v,w,dv,dw
-2.5,-1.0,4.208333333333333,-0.08000000000000002
-2.5,-0.875,4.083333333333333,-0.08800000000000002
-2.5,-0.75,3.958333333333333,-0.09600000000000002
-2.5,-0.625,3.833333333333333,-0.10400000000000001
-2.5,-0.5,3.708333333333333,-0.11200000000000002
-2.5,-0.375,3.583333333333333,-0.12000000000000002
-2.5,-0.25,3.458333333333333,-0.128
-2.5,-0.125,3.333333333333333,-0.136
-2.5,0.0,3.208333333333333,-0.14400000000000002
-2.5,0.125,3.083333333333333,-0.15200000000000002
-2.5,0.25,2.958333333333333,-0.16000000000000003
-2.5,0.375,2.833333333333333,-0.168
-2.5,0.5,2.708333333333333,-0.17600000000000002
-2.5,0.625,2.583333333333333,-0.18400000000000002
-2.5,0.75,2.458333333333333,-0.192
-2.5,0.875,2.333333333333333,-0.2
-2.5,1.0,2.208333333333333,-0.20800000000000002
-2.5,1.125,2.083333333333333,-0.21600000000000003
-2.5,1.25,1.958333333333333,-0.22400000000000003
-2.5,1.375,1.833333333333333,-0.232
-2.5,1.5,1.708333333333333,-0.24000000000000002
-2.5,1.625,1.583333333333333,-0.24800000000000003
-2.5,1.75,1.458333333333333,-0.256
-2.5,1.875,1.333333333333333,-0.264
-2.5,2.0,1.208333333333333,-0.272
-2.2916666666666665,-1.0,3.220076195987654,-0.06333333333333332
-2.2916666666666665,-0.875,3.095076195987654,-0.07133333333333333
-2.2916666666666665,-0.75,2.970076195987654,-0.07933333333333333
-2.2916666666666665,-0.625,2.845076195987654,-0.08733333333333332
-2.2916666666666665,-0.5,2.720076195987654,-0.09533333333333333
-2.2916666666666665,-0.375,2.595076195987654,-0.10333333333333333
-2.2916666666666665,-0.25,2.470076195987654,-0.11133333333333333
-2.2916666666666665,-0.125,2.345076195987654,-0.11933333333333332
-2.2916666666666665,0.0,2.220076195987654,-0.12733333333333333
-2.2916666666666665,0.125,2.095076195987654,-0.13533333333333333
-2.2916666666666665,0.25,1.9700761959876538,-0.1433333333333333
-2.2916666666666665,0.375,1.8450761959876538,-0.15133333333333332
-2.2916666666666665,0.5,1.7200761959876538,-0.15933333333333333
-2.2916666666666665,0.625,1.5950761959876538,-0.16733333333333333
-2.2916666666666665,0.75,1.4700761959876538,-0.17533333333333334
-2.2916666666666665,0.875,1.3450761959876538,-0.18333333333333332
-2.2916666666666665,1.0,1.2200761959876538,-0.19133333333333333
-2.2916666666666665,1.125,1.0950761959876538,-0.19933333333333333
-2.2916666666666665,1.25,0.9700761959876538,-0.20733333333333331
-2.2916666666666665,1.375,0.8450761959876538,-0.21533333333333332
-2.2916666666666665,1.5,0.7200761959876538,-0.22333333333333333
-2.2916666666666665,1.625,0.5950761959876538,-0.23133333333333334
-2.2916666666666665,1.75,0.4700761959876538,-0.23933333333333334
-2.2916666666666665,1.875,0.3450761959876538,-0.24733333333333332
-2.2916666666666665,2.0,0.22007619598765382,-0.2553333333333333
-2.0833333333333335,-1.0,2.430748456790124,-0.04666666666666669
-2.0833333333333335,-0.875,2.305748456790124,-0.0546666666666667
-2.0833333333333335,-0.75,2.180748456790124,-0.06266666666666669
-2.0833333333333335,-0.625,2.055748456790124,-0.07066666666666668
-2.0833333333333335,-0.5,1.9307484567901239,-0.07866666666666669
-2.0833333333333335,-0.375,1.8057484567901239,-0.0866666666666667
-2.0833333333333335,-0.25,1.6807484567901239,-0.09466666666666669
-2.0833333333333335,-0.125,1.5557484567901239,-0.10266666666666668
-2.0833333333333335,0.0,1.4307484567901239,-0.11066666666666669
-2.0833333333333335,0.125,1.3057484567901239,-0.1186666666666667
-2.0833333333333335,0.25,1.1807484567901239,-0.1266666666666667
-2.0833333333333335,0.375,1.0557484567901239,-0.13466666666666668
-2.0833333333333335,0.5,0.9307484567901239,-0.1426666666666667
