seed,window_size,lambda_min,lambda_max,n_negative,grad_norm_data_term,J_data,p_err
1,1,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,2,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,3,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,4,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,5,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,6,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,8,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,10,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,12,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,15,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,20,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,25,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,33,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,50,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,75,0.0,0.0,0,0.0,1000.0,1.840755564960906
1,100,0.0,0.0,0,0.0,1000.0,1.840755564960906
2,1,-0.002620713492295211,39.808776093199675,1,0.06409817283880773,0.02637195337965448,1.4433271403025278
2,2,-0.0013974618249260702,92.66563552646627,1,0.07449537035960796,0.013879357043079375,0.4727330926365348
2,3,0.0002610255501800787,163.92238893728182,0,0.013375447214068524,0.011307884463658864,0.4380860810080495
2,4,0.0007001943146130616,603.709753194807,0,0.024150413368566718,0.00789174251431034,0.38085255892050734
2,5,-5.234854627140919e-5,571.6667949210015,1,0.029957477413433825,0.011054200590327712,0.21156691929148266
2,6,-0.008051834428746189,1756.1521197095567,2,0.06612256565826478,0.01285397721567899,0.3050325392828344
2,8,0.0006052220842521896,1676.1602169651642,0,0.09165099967219552,0.008575554272711837,0.2972435768482096
2,10,0.00046725248761762074,5597.531693981173,0,0.09809792567583661,0.0062818964923470715,0.33223308887213676
2,12,-0.0011199647962300886,17361.611205305315,1,0.053498133089480586,0.007543699466899706,0.3191579496993763
2,15,0.0005294530780833685,8723.060091062205,0,0.10461482010048605,0.00647130171272513,0.32243867098751655
2,20,-0.00019898662954664185,35826.60199536182,1,0.036930067921176674,0.0064828933146527145,0.29178741090292004
2,25,9.607953780792664e-5,123270.31792554079,0,0.10836566803429344,0.006161230246149619,0.3534558303608948
2,33,-0.0006889205898808617,180215.25567848355,1,0.17925959647759754,0.006812326993678108,0.3711825053408327
2,50,-0.0002065151852086789,309652.9160483493,1,0.2286295920387021,0.006175574319442009,0.3943077509053281
2,75,-0.0013234734460521019,736491.2336925372,2,0.3353368134034671,0.0059226840934403025,0.3836512959750908
2,100,-0.0005554559904236292,1.28343668763515e6,1,0.21111002935597942,0.005888688051639959,0.39771773168955354
3,1,-0.0012664495515920828,38.967295927538714,1,0.05176033636459838,0.014407896618131966,1.3870039471478408
3,2,0.0001914972403202002,86.72009682959384,0,0.04231988463607819,0.012293413066246116,0.7525085783427865
3,3,-0.002605652739068562,150.76037583602803,1,0.05256090860485287,0.01175049721864458,0.49577511879721253
3,4,0.0006149538870398765,589.1367598564041,0,0.046157114656735006,0.007675041031006816,0.3716343280013551
3,5,-0.0006644748707334236,557.7444971889267,1,0.025579032352479658,0.010612599183066992,0.23206494840945105
3,6,-0.002680259728771711,1579.275493964688,2,0.07899335744738874,0.011575786320620271,0.42470295822685
3,8,0.00036343636913864296,1135.8945802707976,0,0.023231787452784394,0.007700985585855627,0.4376016178003434
3,10,0.0004399211174294838,4719.097029839751,0,0.05427387056356356,0.0064017248443935595,0.3691779543036833
3,12,-0.0018061246654340463,12482.707349996062,2,0.01955154985668527,0.007197872134368562,0.38915177243730875
3,15,0.000532421181635229,7546.421610577729,0,0.06386278363910357,0.006383998841493378,0.34710627786498977
3,20,-0.00037891328013682415,34331.6840072302,1,0.10415993642223961,0.006262500293509315,0.3260717767838415
3,25,-0.003192575722317287,99744.5625370559,1,0.2472491548739909,0.006252406783892502,0.3392323295566366
3,33,-0.0013903878245639526,166916.22049195904,1,0.22793723247643416,0.006747952050637339,0.3486676810290184
3,50,-0.000783834596894452,281199.64818069065,1,0.18923762154214202,0.00632396254086167,0.3626033261959846
3,75,-0.0011348485997137241,652804.0884373232,1,0.10789848414203315,0.005856189663311144,0.35415828482315026
3,100,-0.0003215460808775429,1.1638071304110454e6,1,0.04631514865855221,0.005845736429419492,0.3508940104156876
4,1,0.0002392549595605343,38.9426447491155,0,0.025590126385921775,0.011644951425175881,0.6502390684952204
4,2,0.00045465578398641376,88.39187716371563,0,0.012931273710562168,0.012165713715462571,0.31443786150099884
4,3,0.0004965383567382807,170.62485340027186,0,0.02305845539009566,0.01128158540270811,0.3319657708998373
4,4,0.0008000207962559884,568.6247943907309,0,0.02800171087364668,0.007710060972515652,0.27266560092798314
4,5,-0.0009594334913592827,586.8576363940929,1,0.03606125201370049,0.01054176260191937,0.11751438363707546
4,6,-0.0025797288670245198,2447.786811478033,1,0.1224931043897707,0.012357538639042109,0.3177126515033847
4,8,8.102706083299415e-5,1591.2167976431833,0,0.05712044495505613,0.007993964798793808,0.2656933175469698
4,10,0.00040096893516711446,5802.2288131286805,0,0.04423923971941833,0.0063339858675230815,0.24574179903684057
4,12,-0.0012010023085481023,19663.330417218294,2,0.070869150079278,0.007814154279526666,0.2337853894369158
4,15,-0.00013870558079241333,9134.85425366328,1,0.27475317241314556,0.006228163974779828,0.2128285197123223
4,20,-0.001357036568229719,38737.252438866664,1,0.13757401078920942,0.006668540494825509,0.16607015364607647
4,25,-0.0003890769058103854,116653.57639267907,1,0.1137040041276321,0.0057356453611307695,0.2215075282025146
4,33,-0.00036879002687088065,186488.84495634353,1,0.13230029004603847,0.00639532601733427,0.2505251632453236
4,50,-0.0007696684886723476,297099.7321262505,1,0.09039179348700212,0.005782324914255253,0.2420173137621599
4,75,-0.0004911085585324505,702465.9462745282,1,0.10284165052553847,0.005657847391873425,0.2338569268118632
4,100,-0.00043402596309922,1.245251710519919e6,1,0.12354385402950994,0.005533414290079044,0.22704876690938347
5,1,0.00024264846449758093,35.38325514461155,0,0.024382720318626615,0.010523570476213013,0.32025130943070534
5,2,-0.00014451093306103144,88.32710835899223,1,0.01637044947304189,0.012592160775843143,0.0877883652793388
5,3,0.00037648022323824375,169.38644412036132,0,0.014510237288866096,0.011459803029731614,0.21711075799898072
5,4,0.0005812120686897682,582.2437308353979,0,0.015256580972849062,0.007270546508432837,0.16746615650954846
5,5,1.3212376816673718e-5,568.8616049448627,0,0.00853200105409947,0.010317493958451399,0.13889561999624653
5,6,-0.003560986983606178,1616.3660081435455,2,0.07991548116606874,0.012183579439956653,0.22259500318766662
5,8,-0.0005132586919819293,1453.4348502029118,1,0.07869541825178397,0.00866004323793907,0.25306122599186615
5,10,-0.0003078895733058561,4495.323376894863,1,0.039603970636369286,0.007067984436766746,0.26117128155724734
5,12,-0.0070336546670220264,14068.034493008168,2,0.02691588126859835,0.007742213383299081,0.23685030227555995
5,15,-0.00024147581441243655,7296.359608035902,1,0.13201365794708558,0.006494474917949134,0.35947150528327054
5,20,-0.00010343142734571767,32799.19499642189,1,0.20178933461579987,0.007548797413685062,0.27621087843093434
5,25,-0.0006150898592094641,90468.40470506258,2,0.19936943802444954,0.00595300765041979,0.3900418703569285
5,33,0.00030345066668959473,138431.71333645904,0,0.27134895678033466,0.006374325143569667,0.42164924021390116
5,50,-0.000581148053891988,229189.635595448,1,0.13935642269037632,0.006086422206387303,0.42903828310751957
5,75,-0.00024676468378856024,540811.4759462139,1,0.059422303920878,0.005784683177091025,0.41507287062692194
5,100,9.382722839020525e-5,989730.9145890721,0,0.1372462971299826,0.005726771503684148,0.40816635320337064
6,1,-0.00020489558514680877,37.399561992266754,1,0.02010301833815531,0.011934002079438538,0.7990494378033511
6,2,-0.0005372524749273457,88.15382352671568,1,0.009633183704239415,0.0128105788017185,0.417153430449609
6,3,0.00035290239559129485,166.5348005682931,0,0.01011887243302384,0.011349293786582147,0.3867210951889834
6,4,0.0007220066448380864,614.0365528339876,0,0.024600503209733133,0.007694763356190138,0.33991421486510676
6,5,0.000310476210884302,575.6885703896332,0,0.03595518986363119,0.010727352381234328,0.28109075871019346
6,6,-0.009306397707249142,1826.1209532492683,2,0.07161611029179081,0.013279440379172397,0.3808353824986271
6,8,-0.0006983951077154719,1474.1859155116858,1,0.1095154380521226,0.009385869663075351,0.3678994357445782
6,10,0.0007591466627307608,6454.798975356821,0,0.033724369096641185,0.00625833387795034,0.32790796076516626
6,12,-0.0021051492391343197,15754.279568643095,2,0.0905028172078625,0.007995985032519037,0.3475919406572787
6,15,-0.00027544041610586597,8013.889133718865,1,0.055739234162476316,0.006498912460846407,0.376542011077921
6,20,0.0002033834661503519,36575.04893931135,0,0.0817253492180499,0.006511168084596677,0.20884754001205072
6,25,0.00010066145608023302,125561.28689218013,0,0.18849427978438604,0.006139581114057348,0.283397422588937
6,33,0.00020951624053090293,188340.8452291758,0,0.2520354671945545,0.006670921729704005,0.32581677804542525
6,50,-0.0003522434423058282,319344.9725980645,1,0.07532641565460878,0.006127694967137226,0.30793040234017705
6,75,-0.021622520157223716,745956.2003159194,2,0.5558127627274726,0.005591568428008931,0.2903475154059227
6,100,-0.000358239893967999,1.2921939213967388e6,1,0.13351722215573844,0.005597778697162228,0.2922404252463582
7,1,-0.000526535155888146,38.15410895543495,1,0.07515159471964475,0.021005641793137148,0.8416454908044803
7,2,0.00010754226889774509,90.08326883600614,0,0.01273688170456564,0.012628829292524455,0.11240214720030225
7,3,0.00025784140245488596,173.0091792967602,0,0.026074240921590497,0.011221472701478817,0.25030670063019556
7,4,0.0005171674468688214,684.8235452723945,0,0.036663127737627685,0.007317612360164675,0.16929604356477362
7,5,-0.00016352295073952103,627.7768679934397,1,0.012246049647007304,0.010534872592137026,0.10888643170701827
7,6,-0.0010977438569747264,1923.9576975397863,2,0.0736546058114054,0.013135793593713507,0.2526093565230255
7,8,-0.0018827560894723364,1391.6935265495297,2,0.040587699549242226,0.008582126125021721,0.3507643499825224
7,10,0.0005849128099065768,6769.71573051913,0,0.031531927861736475,0.0066403287094789045,0.2711624205639491
7,12,-0.004729638801687927,21946.432069887738,1,0.08644404075774205,0.007704462903990077,0.19436062325264292
7,15,-0.0007439650112167043,8445.015863089975,1,0.08624632362237294,0.005784653263726535,0.24046770970050277
7,20,-0.0007002168642115813,33803.59038583294,1,0.11081046070423967,0.006238438748364481,0.1366901071720458
7,25,-0.0009343341000344824,117128.42709689091,1,0.21579020619846626,0.005488481724681223,0.17081284330315016
7,33,-0.0031309647084222275,178255.2091509498,1,0.4517908050461798,0.0063665443227411194,0.24214591091130028
7,50,-0.0006238841731282191,300136.05792640004,2,0.0985034548478342,0.005800436498133588,0.23414726381256987
7,75,-0.0001696397050257939,717171.7939239838,1,0.1315805990241392,0.005511514452593765,0.22734176522688376
7,100,-0.00013912357609782684,1.2673011444235756e6,1,0.09402604655391206,0.005458788423029772,0.21477098543848863
8,1,-0.0007655696253816859,38.04141365394936,1,0.03198774581019973,0.012574882152867744,0.8865208761693654
8,2,-0.0006304089631169466,88.88562347465864,1,0.0318954745571356,0.013171033560085447,0.34350286180007805
8,3,0.0003234017794347685,168.54613385940158,0,0.015789942260169214,0.01139830018208715,0.362934711425228
8,4,0.0006750221150634614,690.7369867712514,0,0.01747393047336437,0.007670166343497934,0.3249859170575662
8,5,4.6406997050548734e-5,603.7709438596735,0,0.025694552760460704,0.01103734736627112,0.28579673167992975
8,6,-0.006575964738605566,1722.5819526896025,2,0.05660077410853478,0.01256527527950925,0.3705269788091848
8,8,0.00022599085388936915,1708.0253253211074,0,0.026835460353690072,0.007890065970198304,0.4721803689856318
8,10,0.0006285915898798471,5664.597944291196,0,0.05738114796878349,0.006295254100714934,0.210362183753059
8,12,-0.002104983944890302,21565.47180297268,1,0.08736477858931371,0.0075922639258821515,0.19334152572358762
