system,arm,seed,optimizer,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
lorenz,propagate,1,nm,1,0.4179019569534556,33.60737704834804,0.13333333333333333,1.0,19,5.473917007446289,4932,4000,false,false,31.55062430744846
lorenz,propagate,1,nm,2,0.2787873896483841,27.31364191597666,0.23333333333333334,1.0,16,4.842226982116699,4803,4000,false,false,31.55062430744846
lorenz,propagate,1,nm,5,0.3677393625355027,25.885325716043404,0.16666666666666666,1.0,18,4.864919900894165,4837,4000,false,false,31.55062430744846
lorenz,propagate,1,nm,10,0.37713359543931085,20.867413700080476,0.2,0.8571428571428571,17,5.069811105728149,5031,4000,false,false,31.55062430744846
lorenz,propagate,1,nm,25,0.31328911147952887,19.744080905857846,0.16666666666666666,0.8571428571428571,18,5.2734808921813965,5058,4000,false,false,31.55062430744846
lorenz,propagate,1,nm,50,0.2820745679648442,19.586301821811503,0.2,0.8571428571428571,17,5.220108985900879,5191,4000,false,false,31.55062430744846
lorenz,propagate,1,nm,100,0.28691006141825104,19.523823504823064,0.2,0.8571428571428571,17,5.991603136062622,5960,4000,false,false,31.55062430744846
lorenz,propagate,3,nm,1,1.1021528121108546,31.750703333097054,0.16666666666666666,0.8571428571428571,18,4.941257953643799,4903,4000,false,false,31.371860103273352
lorenz,propagate,3,nm,2,0.3606437496985241,19.277813253520723,0.13333333333333333,1.0,20,4.941106796264648,4916,4000,false,false,31.371860103273352
lorenz,propagate,3,nm,5,0.29028381867104186,21.220673564825418,0.2,1.0,19,4.9793970584869385,4875,4000,false,false,31.371860103273352
lorenz,propagate,3,nm,10,0.3001159761509287,22.79038675271637,0.2,1.0,19,5.052235841751099,5018,4000,false,false,31.371860103273352
lorenz,propagate,3,nm,25,0.29205770084760946,20.974614634973133,0.2,1.0,19,5.140621900558472,5103,4000,false,false,31.371860103273352
lorenz,propagate,3,nm,50,0.2631901196569017,21.344214849689127,0.2,1.0,19,5.492495059967041,5209,4000,false,false,31.371860103273352
lorenz,propagate,3,nm,100,0.2643817993214675,21.498280924890356,0.2,1.0,19,6.019282102584839,5435,4000,false,false,31.371860103273352
lorenz,reset,1,nm,1,0.4179019569534556,33.60737704834804,0.13333333333333333,1.0,19,5.223879098892212,4932,4000,false,false,31.55062430744846
lorenz,reset,1,nm,2,1.3705771186470264,33.36515700596356,0.16666666666666666,1.0,19,4.982254981994629,4897,4000,false,false,31.55062430744846
