exp,arm,seed,window_size,index,value
schedule,dense,1,6,14,0.2104974935858521
schedule,dense,1,6,15,0.0519751108061429
schedule,dense,1,6,16,0.2704127989650343
schedule,dense,1,6,17,-0.16648432210683925
schedule,dense,1,6,18,-0.2450992995880129
schedule,dense,1,6,19,0.1345466015045483
schedule,dense,1,6,20,-0.1571597191774339
schedule,dense,1,6,21,0.01635345709835445
schedule,dense,1,6,22,-0.01760725565047931
schedule,dense,1,7,1,-1.8633893588791945
schedule,dense,1,7,2,0.9432517283983279
schedule,dense,1,7,3,-0.013691541841944266
schedule,dense,1,7,4,0.09600615614130223
schedule,dense,1,7,5,-0.07590705549326547
schedule,dense,1,7,6,-0.1338782602544171
schedule,dense,1,7,7,-0.22161473025361383
schedule,dense,1,7,8,0.10480029769812632
schedule,dense,1,7,9,0.08357908791044395
schedule,dense,1,7,10,-0.006610320937165477
schedule,dense,1,7,11,0.025655476559893593
schedule,dense,1,7,12,-0.06333143818900529
schedule,dense,1,7,13,0.038903944017657226
schedule,dense,1,7,14,0.2104974935858521
schedule,dense,1,7,15,0.0519751108061429
schedule,dense,1,7,16,0.2704127989650343
schedule,dense,1,7,17,-0.16648432210683925
schedule,dense,1,7,18,-0.2450992995880129
schedule,dense,1,7,19,0.1345466015045483
schedule,dense,1,7,20,-0.1571597191774339
schedule,dense,1,7,21,0.01635345709835445
schedule,dense,1,7,22,-0.01760725565047931
schedule,dense,1,8,1,-1.8633893588791945
schedule,dense,1,8,2,0.9432517283983279
schedule,dense,1,8,3,-0.013691541841944266
schedule,dense,1,8,4,0.09600615614130223
schedule,dense,1,8,5,-0.07590705549326547
schedule,dense,1,8,6,-0.1338782602544171
schedule,dense,1,8,7,-0.22161473025361383
schedule,dense,1,8,8,0.10480029769812632
schedule,dense,1,8,9,0.08357908791044395
schedule,dense,1,8,10,-0.006610320937165477
schedule,dense,1,8,11,0.025655476559893593
schedule,dense,1,8,12,-0.06333143818900529
schedule,dense,1,8,13,0.038903944017657226
schedule,dense,1,8,14,0.2104974935858521
schedule,dense,1,8,15,0.0519751108061429
schedule,dense,1,8,16,0.2704127989650343
schedule,dense,1,8,17,-0.16648432210683925
schedule,dense,1,8,18,-0.2450992995880129
schedule,dense,1,8,19,0.1345466015045483
schedule,dense,1,8,20,-0.1571597191774339
schedule,dense,1,8,21,0.01635345709835445
schedule,dense,1,8,22,-0.01760725565047931
schedule,dense,1,9,1,-1.8633893588791945
schedule,dense,1,9,2,0.9432517283983279
schedule,dense,1,9,3,-0.013691541841944266
schedule,dense,1,9,4,0.09600615614130223
schedule,dense,1,9,5,-0.07590705549326547
schedule,dense,1,9,6,-0.1338782602544171
schedule,dense,1,9,7,-0.22161473025361383
schedule,dense,1,9,8,0.10480029769812632
schedule,dense,1,9,9,0.08357908791044395
schedule,dense,1,9,10,-0.006610320937165477
schedule,dense,1,9,11,0.025655476559893593
schedule,dense,1,9,12,-0.06333143818900529
schedule,dense,1,9,13,0.038903944017657226
schedule,dense,1,9,14,0.2104974935858521
schedule,dense,1,9,15,0.0519751108061429
schedule,dense,1,9,16,0.2704127989650343
schedule,dense,1,9,17,-0.16648432210683925
schedule,dense,1,9,18,-0.2450992995880129
schedule,dense,1,9,19,0.1345466015045483
schedule,dense,1,9,20,-0.1571597191774339
schedule,dense,1,9,21,0.01635345709835445
schedule,dense,1,9,22,-0.01760725565047931
schedule,dense,1,10,1,-1.8633893588791945
schedule,dense,1,10,2,0.9432517283983279
schedule,dense,1,10,3,-0.013691541841944266
schedule,dense,1,10,4,0.09600615614130223
schedule,dense,1,10,5,-0.07590705549326547
schedule,dense,1,10,6,-0.1338782602544171
schedule,dense,1,10,7,-0.22161473025361383
schedule,dense,1,10,8,0.10480029769812632
schedule,dense,1,10,9,0.08357908791044395
schedule,dense,1,10,10,-0.006610320937165477
schedule,dense,1,10,11,0.025655476559893593
schedule,dense,1,10,12,-0.06333143818900529
schedule,dense,1,10,13,0.038903944017657226
schedule,dense,1,10,14,0.2104974935858521
schedule,dense,1,10,15,0.0519751108061429
schedule,dense,1,10,16,0.2704127989650343
schedule,dense,1,10,17,-0.16648432210683925
schedule,dense,1,10,18,-0.2450992995880129
schedule,dense,1,10,19,0.1345466015045483
schedule,dense,1,10,20,-0.1571597191774339
schedule,dense,1,10,21,0.01635345709835445
schedule,dense,1,10,22,-0.01760725565047931
schedule,dense,1,11,1,-1.8633893588791945
schedule,dense,1,11,2,0.9432517283983279
schedule,dense,1,11,3,-0.013691541841944266
schedule,dense,1,11,4,0.09600615614130223
schedule,dense,1,11,5,-0.07590705549326547
schedule,dense,1,11,6,-0.1338782602544171
schedule,dense,1,11,7,-0.22161473025361383
schedule,dense,1,11,8,0.10480029769812632
schedule,dense,1,11,9,0.08357908791044395
schedule,dense,1,11,10,-0.006610320937165477
schedule,dense,1,11,11,0.025655476559893593
schedule,dense,1,11,12,-0.06333143818900529
schedule,dense,1,11,13,0.038903944017657226
schedule,dense,1,11,14,0.2104974935858521
schedule,dense,1,11,15,0.0519751108061429
schedule,dense,1,11,16,0.2704127989650343
schedule,dense,1,11,17,-0.16648432210683925
schedule,dense,1,11,18,-0.2450992995880129
schedule,dense,1,11,19,0.1345466015045483
schedule,dense,1,11,20,-0.1571597191774339
schedule,dense,1,11,21,0.01635345709835445
schedule,dense,1,11,22,-0.01760725565047931
schedule,dense,1,12,1,-1.8633893588791945
schedule,dense,1,12,2,0.9432517283983279
schedule,dense,1,12,3,-0.013691541841944266
schedule,dense,1,12,4,0.09600615614130223
schedule,dense,1,12,5,-0.07590705549326547
schedule,dense,1,12,6,-0.1338782602544171
