t,x,y,z,x_clean,y_clean,z_clean
0.0,-12.512502589657043,-20.7335027479362,20.68630257871527,-12.598717408117144,-20.782638021605816,20.842192722831815
0.020000000000000018,-14.080786801987738,-21.837743874817768,25.519541302718576,-14.182031628971178,-21.67656581285641,25.330403904760775
0.040000000000000036,-15.245730658229633,-21.273387963498486,30.059027509423988,-15.527041935778293,-21.296393636173708,30.27960290520778
0.06000000000000005,-16.63426264137164,-19.517758373157964,35.36652504937875,-16.416014565017736,-19.365859679868596,35.08728605610768
0.08000000000000007,-16.60036372092325,-15.862151964386623,39.08614913941402,-16.652122297820366,-15.971890700334978,39.004151801074435
0.10000000000000009,-16.15833333821161,-11.338528500998631,41.4833832030509,-16.13106009617326,-11.632095974957535,41.41409796844577
0.1200000000000001,-14.902294476237868,-7.021319315294925,42.08992064424242,-14.889564732593536,-7.119993060536746,42.10192077459935
0.14000000000000012,-12.96526038253791,-3.171799588862516,41.37507443673769,-13.096508118351027,-3.1418300849597944,41.305042235235845
0.16000000000000014,-11.10035688039764,-0.05171626520321287,39.79405286003045,-10.99142718554236,-0.09602850311983793,39.527120740836835
0.18000000000000016,-8.663840872159028,2.188198406674004,37.24919915400015,-8.81003433398551,1.9561313037515728,37.2855151432056
0.20000000000000018,-6.509664920493648,2.987731646648951,35.00171742662213,-6.733758002879652,3.1711110323602805,34.95635913805793
0.2200000000000002,-4.810341045378581,3.7935454374258066,32.96263491567068,-4.873713480303229,3.782684736395837,32.746811387007305
0.2400000000000002,-3.4459686245204946,4.0552139525241,30.851961883192125,-3.278820514671031,4.0115403896569894,30.737573830305948
0.2599999999999998,-1.9754376997586294,3.875843519796489,28.668658587506467,-1.953490288282557,4.029351012011949,28.937936416241683
0.2799999999999998,-0.74326006899931,3.9825724067677384,27.384088368345594,-0.8751957459997594,3.955605312552225,27.32667768488823
0.2999999999999998,0.35680065337130445,3.9953449876286617,26.07864457950233,-0.007981204751374461,3.867479377859855,25.875190883120375
0.31999999999999984,0.9188481725655094,3.7035931630466816,24.227184868897286,0.6885829673518367,3.812008775289434,24.557859057882172
0.33999999999999986,1.2820105893483908,3.4796283416264906,23.545089834848152,1.2541357094462993,3.8164546456581334,23.35535354685996
0.3599999999999999,1.7892097792535755,3.790878489346587,22.217989652687407,1.7248444890918555,3.8960019121603433,22.254757045850912
