t,v,w,v_clean,w_clean
0.0,-1.8633893588791945,0.9432517283983279,-1.929437229309386,0.9101151095828509
1.0,-1.9125323535456933,0.6929179697822198,-1.8730891095330147,0.7606135967388087
2.0,-1.7850999292832077,0.6076302784956488,-1.816403873564684,0.6247747638126013
3.0,-1.7222571066428645,0.4630537913263451,-1.7602028004504906,0.5017316299490523
4.0,-1.6694433869581868,0.3723335876818225,-1.7044776316223749,0.39065274566188624
5.0,-1.6288245859175023,0.2992548548567516,-1.6491527612622463,0.2907623210371073
6.0,-1.6058350378749668,0.1945719033519571,-1.5941349232554127,0.20133925782282566
7.0,-1.5177769971566275,0.10912919098280535,-1.5393134985905166,0.1217150446972169
8.0,-1.5900690618540554,0.11831699613929995,-1.4845551488752087,0.05127203282241835
9.0,-1.5499533788298938,-0.01777946650168178,-1.4296954611856953,-0.010557650882975653
10.0,-1.2920992226910661,-0.08890094643767085,-1.3745264719201584,-0.06429232589348444
11.0,-1.4110576974651883,-0.09180359111046274,-1.3187775792450023,-0.11039976187571654
12.0,-1.263538817630297,-0.19040445285425286,-1.2620853543595596,-0.14929436872304724
13.0,-1.0819874770978348,-0.18226222623284566,-1.203943911579166,-0.18133153269238167
14.0,-1.1910381754546808,-0.21601570124039943,-1.1436195648699368,-0.2067972041641031
15.0,-0.9992594354586194,-0.22520959230785323,-1.07999611432935,-0.2258891088430245
16.0,-1.0106424918719998,-0.2400089056645974,-1.0112761826986443,-0.23868220137291893
17.0,-0.9018255292404656,-0.23010134967109616,-0.9343591184005049,-0.24506220741572876
18.0,-0.9647101026005018,-0.21871055210624862,-0.8434179464946864,-0.244588592112529
19.0,-0.7223108092923511,-0.2328411026619706,-0.7262388355791966,-0.23618357094801004
20.0,-0.6431483126570812,-0.2665967412024393,-0.5533207232211154,-0.2173300453949752
21.0,-0.19318488567826045,-0.2346057570064451,-0.23987304377217955,-0.1816448061912463
22.0,0.37424191013992003,-0.12125044122358931,0.4722064405632697,-0.11079212335829758
23.0,1.5769201481536128,0.050409116841059046,1.5702570138884093,0.03187068507138514
24.0,1.9617290694410625,0.25246077763057184,1.851661136341617,0.2215219625333894
25.0,1.8148749530157198,0.43863009130384323,1.808907426629314,0.40433392330546597
26.0,1.8816980462462976,0.572213782585656,1.735063781128826,0.5708509442760437
27.0,1.6367064491153536,0.7512891080947524,1.6566020115435207,0.7211099417893655
28.0,1.6067854467648863,0.8468212909895946,1.575071510679852,0.8558555406193522
29.0,1.480476467441037,0.9722651948155796,1.489594000469147,0.9757832338833139
30.0,1.3893349327888949,1.0892822957322503,1.3985042306230033,1.0814457258728898
31.0,1.3515776276365816,1.1572966677257217,1.2990892805449716,1.1731951108304879
32.0,1.194493791554082,1.2388101102042406,1.1866396604667329,1.2510823374584705
33.0,0.9895522877601498,1.337056712381783,1.05209072022656,1.3146431133386152
34.0,0.900606726609432,1.3980638159469712,0.8753465210920888,1.3623782139476615
