arm,seed,window_size,t,x,y
propagate,1,5,0.0,1.9796162030846747,1.0369225566811167
propagate,1,5,0.02,1.9975217375114898,1.032174818536492
propagate,1,5,0.04,2.015694628319984,1.0275608959417013
propagate,1,5,0.06,2.034136769779215,1.023081041831221
propagate,1,5,0.08,2.0528500405637335,1.0187355429603735
propagate,1,5,0.1,2.0718363010545207,1.0145247209342048
propagate,1,5,0.12000000000000001,2.0910973905212646,1.0104489332544755
propagate,1,5,0.14,2.1106351241809342,1.0065085743855895
propagate,1,5,0.16,2.130451290127471,1.0027040768402826
propagate,1,5,0.18,2.1505476461272544,0.9990359122858846
propagate,1,5,0.19999999999999998,2.170925916274837,0.9955045926719545
propagate,1,5,0.21999999999999997,2.191587787503275,0.9921106713800774
propagate,1,5,0.23999999999999996,2.2125349059432313,0.9888547443965969
propagate,1,5,0.25999999999999995,2.233768873124844,0.9857374515090379
propagate,1,5,0.27999999999999997,2.2552912420162032,0.9827594775269536
propagate,1,5,0.3,2.277103512892103,0.9799215535279105
propagate,1,5,0.32,2.2992071290265677,0.9772244581292935
propagate,1,5,0.34,2.3216034722025025,0.974669018786585
propagate,1,5,0.36000000000000004,2.3442938580316306,0.972256113118738
propagate,1,5,0.38000000000000006,2.367279531077746,0.9699866702612214
propagate,1,5,0.4000000000000001,2.390561659776133,0.9678616722472717
propagate,1,5,0.4200000000000001,2.414141331141864,0.9658821554178385
propagate,1,5,0.4400000000000001,2.438019545259537,0.9640492118606516
propagate,1,5,0.46000000000000013,2.4621972095468783,0.9623639908787772
propagate,1,5,0.48000000000000015,2.4866751327845,0.9608277004889619
propagate,1,5,0.5000000000000001,2.5114540189039856,0.9594416089499856
propagate,1,5,0.5200000000000001,2.5365344605263718,0.9582070463211594
propagate,1,5,0.5400000000000001,2.561916932242987,0.9571254060510103
propagate,1,5,0.5600000000000002,2.587601783630541,0.9561981465960921
propagate,1,5,0.5800000000000002,2.6135892319922918,0.9554267930697445
propagate,1,5,0.6000000000000002,2.6398793548170643,0.9548129389204988
propagate,1,5,0.6200000000000002,2.6664720819478953,0.9543582476396907
propagate,1,5,0.6400000000000002,2.6933671874520644,0.9540644544976863
propagate,1,5,0.6600000000000003,2.720564281184313,0.9539333683079653
propagate,1,5,0.6800000000000003,2.748062800035121,0.9539668732181198
propagate,1,5,0.7000000000000003,2.7758619988559996,0.9541669305266336
propagate,1,5,0.7200000000000003,2.803960941053914,0.9545355805240874
propagate,1,5,0.7400000000000003,2.8323584888471096,0.9550749443572014
propagate,1,5,0.7600000000000003,2.8610532931748662,0.9557872259138729
propagate,1,5,0.7800000000000004,2.890043783253968,0.9566747137270861
propagate,1,5,0.8000000000000004,2.9193281557750237,0.957739782895273
propagate,1,5,0.8200000000000004,2.9489043637321752,0.9589848970163756
propagate,1,5,0.8400000000000004,2.9787701048801853,0.9604126101325097
propagate,1,5,0.8600000000000004,3.0089228098134626,0.9620255686817459
propagate,1,5,0.8800000000000004,3.039359629662186,0.9638265134531147
propagate,1,5,0.9000000000000005,3.0700774234014125,0.9658182815404952
propagate,1,5,0.9200000000000005,3.1010727447698625,0.9680038082905739
propagate,1,5,0.9400000000000005,3.132341828795983,0.9703861292395392
propagate,1,5,0.9600000000000005,3.163880577929921,0.9729683820326304
propagate,1,5,0.9800000000000005,3.1956845477811724,0.9757538083200634
propagate,1,5,1.0000000000000004,3.227748932462961,0.9787457556222221
propagate,1,5,1.0200000000000005,3.2600685495458026,0.9819476791563218
propagate,1,5,1.0400000000000005,3.2926378246242827,0.9853631436160271
propagate,1,5,1.0600000000000005,3.325450775502795,0.9889958248947274
propagate,1,5,1.0800000000000005,3.3585009960078835,0.9928495117423485
propagate,1,5,1.1000000000000005,3.391781639436912,0.9969281073446956
propagate,1,5,1.1200000000000006,3.425285401655049,1.0012356308133903
propagate,1,5,1.1400000000000006,3.459004503855039,1.005776218573467
propagate,1,5,1.1600000000000006,3.492930674996923,1.0105541256346464
propagate,1,5,1.1800000000000006,3.527055133947791,1.0155737267311857
propagate,1,5,1.2000000000000006,3.5613685713448264,1.0208395173140383
propagate,1,5,1.2200000000000006,3.595861131208311,1.026356114377809
propagate,1,5,1.2400000000000007,3.6305223923349517,1.032128257103697
propagate,1,5,1.2600000000000007,3.665341349505852,1.038160807298249
propagate,1,5,1.2800000000000007,3.7003063945477104,1.0444587496063225
propagate,1,5,1.3000000000000007,3.7354052972903697,1.0510271914751548
propagate,1,5,1.3200000000000007,3.770625186468712,1.0578713628448992
propagate,1,5,1.3400000000000007,3.805952530622064,1.0649966155393564
propagate,1,5,1.3600000000000008,3.8413731190497917,1.072408422328976
propagate,1,5,1.3800000000000008,3.876872042887577,1.0801123756364746
propagate,1,5,1.4000000000000008,3.9124336763750516,1.0881141858536485
propagate,1,5,1.4200000000000008,3.948041658391943,1.0964196792361527
propagate,1,5,1.4400000000000008,3.983678874346731,1.1050347953411734
