shard 10/12: 32 of 394 jobs
[10] 1/32 main/propagate/seed3 done, 35.0 s
[10] 2/32 main/best/seed7 done, 65.0 s
[10] 3/32 penalty/propagate_graded/seed3 done, 95.0 s
[10] 4/32 penalty/reset_graded/seed7 done, 125.0 s
[10] 5/32 optimizer/bfgs_reset/seed3 done, 148.0 s
[10] 6/32 optimizer/lbfgs_propagate/seed7 done, 942.0 s
[10] 7/32 iters/it5000/seed3 done, 968.0 s
[10] 8/32 noise/reset/seed5 done, 981.0 s
[10] 9/32 noise/reset/seed5 done, 994.0 s
[10] 10/32 noise/reset/seed5 done, 1007.0 s
[10] 11/32 noise/reset/seed5 done, 1020.0 s
[10] 12/32 noise/reset/seed5 done, 1033.0 s
[10] 13/32 noise/reset/seed5 done, 1045.0 s
[10] 14/32 sparsity/propagate/seed5 done, 1058.0 s
[10] 15/32 sparsity/propagate/seed5 done, 1071.0 s
[10] 16/32 sparsity/propagate/seed5 done, 1084.0 s
[10] 17/32 substeps/S2/seed3 done, 1087.0 s
[10] 18/32 substeps/S20/seed3 done, 1114.0 s
[10] 19/32 iters/it1000/seed3 done, 1120.0 s
[10] 20/32 iters/it500/seed3 done, 1123.0 s
[10] 21/32 basin/k1/seed1 done, 1125.0 s
[10] 22/32 basin/k1/seed3 done, 1127.0 s
[10] 23/32 basin/k1/seed5 done, 1129.0 s
[10] 24/32 basin/k1/seed7 done, 1130.0 s
[10] 25/32 basin/k5/seed9 done, 1132.0 s
[10] 26/32 basin/k5/seed1 done, 1134.0 s
[10] 27/32 basin/k5/seed3 done, 1136.0 s
[10] 28/32 basin/k5/seed5 done, 1137.0 s
[10] 29/32 basin/k100/seed7 done, 1140.0 s
[10] 30/32 basin/k100/seed9 done, 1143.0 s
[10] 31/32 basin/k100/seed1 done, 1145.0 s
[10] 32/32 basin/k100/seed3 done, 1147.0 s
shard 10 done in 1147.0 s
