t,x,y,x_clean,y_clean
0.0,1.979803836149591,1.0367627052703203,2.0,1.0
0.25,2.319055877310953,1.0351014832175744,2.272377543799498,0.960723615593645
0.5,2.517721238050998,0.9410047138423505,2.590995996987474,0.9436635830880971
0.75,3.095487765873903,0.9791973493639407,2.956177463617974,0.9509901562955937
1.0,3.3733617358277086,0.9985803937207348,3.3639618590919462,0.986602665776986
1.25,3.759232005932962,1.0791328687206527,3.8030909544664744,1.0566840264008543
1.5,4.26489765823582,1.1862874886645238,4.25094491950675,1.1702381116795082
1.75,4.687666733807626,1.3150914838817531,4.669022834496186,1.3391689073874427
2.0,4.933036333853545,1.5492774725728566,5.000221784919167,1.5768073648399832
2.25,5.221485613720826,1.91222440794546,5.173035405736743,1.8929216804896143
2.5,5.066647450550681,2.2988186886167767,5.119791562099945,2.2834214206840935
2.75,4.787967789410335,2.6825940014592415,4.81025920698398,2.7172546248963343
3.0,4.407165920839787,3.1200469243946154,4.282639786451051,3.132098336249486
3.25,3.5363785156111436,3.3851791129370454,3.6389411516678827,3.4525129014962213
3.5,3.0393351174541507,3.613887202462817,2.9972782655913033,3.624182398082287
3.75,2.4252158655476443,3.6009166149808043,2.4408927736008432,3.6359541733775957
4.0,2.002531478614221,3.556593136893734,2.002331105345337,3.5139422403356257
4.25,1.6628264862262165,3.3468229507674154,1.6781329033145185,3.3005599099296044
4.5,1.43274259271565,3.061337568220005,1.449547433681653,3.036937477682466
4.75,1.3478057596096644,2.73340683679728,1.2958909551306728,2.754935596557398
5.0,1.3857607838658965,2.530970483423847,1.2000638565823274,2.476075614655472
5.25,1.129648406904225,2.166658057405179,1.149694546513955,2.2134149921477637
5.5,1.2206333047828988,1.974383659372189,1.1366068584039473,1.973992978897406
5.75,1.1567705287918901,1.7206585922585138,1.1559204917582964,1.7609185405325127
6.0,1.3262991006171705,1.6619698199161728,1.2052516474445816,1.5749055981737803
6.25,1.4254499564809036,1.3392724083013572,1.2841131464835385,1.415326667055597
6.5,1.2769543960088803,1.34101311253555,1.3934851206912227,1.280914295201565
6.75,1.561006129656667,1.0903539903332422,1.5354928356643585,1.170227654356164
7.0,1.7073370493032551,1.0413615883394476,1.713120873275876,1.0819750195306526
7.25,2.0066650345883716,1.0327340555182656,1.9298863066881402,1.0152600514342598
7.5,2.136370675686738,0.9558315996560276,2.1893772188678624,0.9698049359452675
7.75,2.5953740204634204,0.9324926114760387,2.4945322017996885,0.9461959539087951
8.0,2.917290461184916,0.8580386932925785,2.846490103402826,0.946194140632986
8.25,3.0791193707027316,0.9724979635680253,3.2427846893562666,0.9731485810876906
8.5,3.680524446667651,1.0504601177132742,3.6746298003377236,1.0325250245961703
8.75,4.1093487033785845,1.098046959662737,4.123139709457988,1.132474225573417
9.0,4.702272996246393,1.2494852788730029,4.55480738019543,1.2841189447300378
9.25,5.004270047167988,1.5061866679517466,4.917884524883859,1.500691976652344
9.5,5.047742894939812,1.7648122133546016,5.143882247119807,1.793794216583687
9.75,5.1501707865879345,2.1815489534708745,5.161133874208254,2.1646714964145066
10.0,5.082650062350871,2.624611491494521,4.924756958120203,2.5911666610849107
10.25,4.4783277939732296,3.029153458069956,4.451612141269933,3.019221070326701
10.5,3.799318012786477,3.3653047420304834,3.8287632362779784,3.373929954210288
10.75,3.0833670049851483,3.6518501876762723,3.1757900320384933,3.591546635083395
11.0,2.5202720099442577,3.689445238156794,2.589422520237165,3.64792243581773
11.25,2.0366780339128123,3.55904916613945,2.1161632819993548,3.560353955345191
11.5,1.7037374144626443,3.2994867552937075,1.760650253974601,3.3687524497451857
11.75,1.633375993164532,3.2514171836727708,1.5067553590128435,3.1158471634929006
12.0,1.3972630583109897,2.8998761347552535,1.3335015111161612,2.8364949696998214
12.25,1.260123570318864,2.5726352107900894,1.2225128551263769,2.5550680276095075
12.5,1.2692762773197392,2.3020798531409086,1.1600735351316036,2.286805928903711
12.75,1.1285890060891715,2.042178673251994,1.1368903536353219,2.040241796141817
13.0,1.217706799296382,1.853422505727919,1.1472250192389863,1.819433734805939
13.25,1.149910662613973,1.5389463263563612,1.1880458807690104,1.625657821799119
13.5,1.3531086343097996,1.4093943649599314,1.2583706202912028,1.4585874912436458
13.75,1.467694275887547,1.287640005964557,1.3587937286963458,1.317083180081974
14.0,1.4557310780261126,1.273228100430433,1.4911405913119875,1.19971600004053
14.25,1.5681479572975363,1.1669220185766875,1.6581787231706884,1.1051238499812348
