variant,iteration,J_window
correct,0,35.756420846765856
correct,1,2.565817515313211
correct,2,2.3437252624109766
correct,3,2.0983083056473784
correct,4,1.7306036307477064
correct,5,1.6365964350337598
correct,6,1.391208381769756
correct,7,1.3187573548300735
correct,8,1.0174705774445225
correct,9,0.9602326584022309
correct,10,0.9447483392757966
correct,11,0.9414975079663519
correct,12,0.929290706636219
correct,13,0.9022220574876939
correct,14,0.9020032792772602
correct,15,0.8814523129431853
correct,16,0.8664257826981369
correct,17,0.8228338277017718
correct,18,0.8169281889060694
correct,19,0.8163098934077309
correct,20,0.814527452851684
correct,21,0.8136891873300088
correct,22,0.8127604523514372
correct,23,0.8118647270031262
correct,24,0.8101236635774606
correct,25,0.8020596175618292
correct,26,0.7947451284293102
correct,27,0.7938458862438674
correct,28,0.7917573760596303
correct,29,0.7879812149869687
correct,30,0.7797442075724879
correct,31,0.7761786393493333
correct,32,0.7583156498881417
correct,33,0.7256384332388337
correct,34,0.719951477391506
correct,35,0.7013795822555422
correct,36,0.675276092324875
correct,37,0.6497463642046641
correct,38,0.6335830471787313
correct,39,0.6331114009224552
correct,40,0.6230160338484557
correct,41,0.5818993401278422
correct,42,0.5663642718030553
correct,43,0.5512508899902216
correct,44,0.5223929593683999
correct,45,0.5212748711346734
correct,46,0.5069026791273608
correct,47,0.4987895361902548
correct,48,0.48619684623818904
correct,49,0.4444063735137579
correct,50,0.4272310094381564
correct,51,0.41101547468802946
correct,52,0.38232917760619506
correct,53,0.3591523207267208
correct,54,0.33818374557604153
correct,55,0.3239784901912967
correct,56,0.31341000693843224
correct,57,0.29320697351740344
correct,58,0.282676866024245
correct,59,0.27379115524594266
correct,60,0.259818044991844
correct,61,0.24979800845929878
correct,62,0.2455248622895831
correct,63,0.2256209324672604
correct,64,0.2183396220458258
correct,65,0.21130126519938192
correct,66,0.19867168397240906
correct,67,0.1902952120159903
correct,68,0.17871299078361
correct,69,0.17667489357133678
correct,70,0.17433782385755342
correct,71,0.16479284389101345
correct,72,0.15786819808661562
correct,73,0.15444464655160173
correct,74,0.15158250774598503
correct,75,0.15055717825876
correct,76,0.14866834930792044
correct,77,0.14584221465546818
correct,78,0.1422836847137383
correct,79,0.13918126049593127
correct,80,0.13578664322963258
correct,81,0.13278612678835433
correct,82,0.1313865437181048
correct,83,0.12717875894691022
correct,84,0.11796867025117466
correct,85,0.11594636254071886
correct,86,0.10749199285052807
correct,87,0.10510898856469067
correct,88,0.10124549619498144
correct,89,0.09671252305762618
correct,90,0.09437253161879956
correct,91,0.09226106259345859
correct,92,0.09119553358572982
correct,93,0.09082304078678126
correct,94,0.09054723576413738
correct,95,0.09011086822753939
correct,96,0.08990191596450464
correct,97,0.08952449037713735
correct,98,0.08833725371323611
correct,99,0.08760291100916921
correct,100,0.08740663234382898
correct,101,0.08714190460217769
correct,102,0.08594985226524259
correct,103,0.08419575901767491
correct,104,0.08329870010903954
correct,105,0.08306383109481005
correct,106,0.08158694515088052
correct,107,0.08134019681831325
correct,108,0.08096083163414122
correct,109,0.08041499854029042
correct,110,0.07982192753830084
correct,111,0.07845853295225066
correct,112,0.0780461989790176
correct,113,0.0773323678883264
correct,114,0.07671013696798867
correct,115,0.07567307732475592
correct,116,0.07437294210057062
correct,117,0.07320800959397036
correct,118,0.07274651677813342
correct,119,0.0725091820911816
correct,120,0.0722573104907971
correct,121,0.07196330662807021
correct,122,0.07105621877486767
correct,123,0.06946759209513484
correct,124,0.06866905272857753
correct,125,0.06780756476274177
correct,126,0.06748347173573527
correct,127,0.06734396436250877
correct,128,0.0672196688542906
correct,129,0.067096943425143
correct,130,0.06688903758844147
correct,131,0.06656296840406953
correct,132,0.06615203716731442
correct,133,0.06571301102837016
correct,134,0.06552171595906257
correct,135,0.06542076365769925
correct,136,0.0652836956499035
correct,137,0.0645379399195943
correct,138,0.06405657196658457
correct,139,0.06368302497100489
correct,140,0.06340263408852823
correct,141,0.06317995708556998
correct,142,0.06307672253060093
correct,143,0.0629157139424186
correct,144,0.06279993600328636
correct,145,0.0624020963658104
correct,146,0.061959094498718115
correct,147,0.0616245546138148
correct,148,0.06139742085693646
correct,149,0.06138581780813883
correct,150,0.061141041629894005
correct,151,0.060864579879551975
correct,152,0.06035383783045384
correct,153,0.05972338076103349
correct,154,0.059112622610978306
correct,155,0.058878911046372245
correct,156,0.05872273292873353
correct,157,0.058595396467960456
correct,158,0.05852608419489523
correct,159,0.05847875357990692
correct,160,0.058388437146249236
correct,161,0.05814832412551526
correct,162,0.057849756341930195
correct,163,0.05737399167781144
correct,164,0.056840263937497165
correct,165,0.056430667502159325
correct,166,0.056134435322344474
correct,167,0.05594147356137898
correct,168,0.055907993067676826
correct,169,0.05579126883461841
correct,170,0.055700018844324906
correct,171,0.05542177884646039
correct,172,0.05510590317367482
correct,173,0.05503660108375941
correct,174,0.05493894707182936
correct,175,0.054803368112429626
correct,176,0.05469562620596445
correct,177,0.054498634575286364
correct,178,0.05429671777197811
correct,179,0.0542425896915579
correct,180,0.05419669576190797
correct,181,0.054163494451115575
correct,182,0.05408565938888624
correct,183,0.05400741689317202
correct,184,0.05397404567814177
correct,185,0.0538180943212305
correct,186,0.05373116346294665
correct,187,0.0534014117999891
correct,188,0.0531427839714322
correct,189,0.053046149199735895
correct,190,0.052831094704937784
correct,191,0.05248391366730194
correct,192,0.052291974555682234
correct,193,0.052202314239870165
correct,194,0.05206469146292225
correct,195,0.05199127097606516
correct,196,0.05188379974876128
correct,197,0.051741198241727404
correct,198,0.051454321352433684
correct,199,0.05125050773822165
correct,200,0.051006576050218785
correct,201,0.05094753542865062
correct,202,0.050921867953574326
correct,203,0.05089437101479283
correct,204,0.05088028529584698
correct,205,0.05083048886084074
correct,206,0.05076336388362919
correct,207,0.050701963365759495
correct,208,0.050573965248320196
correct,209,0.050519859054463837
correct,210,0.050391997253905724
correct,211,0.05030881874820462
correct,212,0.05022754026364062
correct,213,0.05009094862665907
correct,214,0.049745134498939685
correct,215,0.04952286508424557
correct,216,0.04922397955031181
correct,217,0.04909012288307976
correct,218,0.0487166816745009
correct,219,0.048510970415859084
correct,220,0.04840880527254093
correct,221,0.048345557358106674
correct,222,0.04822993681756961
correct,223,0.048199159092583335
correct,224,0.04814774702249139
correct,225,0.04805318910706703
correct,226,0.047898507217605364
correct,227,0.047692867978719314
correct,228,0.04760267382284641
correct,229,0.047427222043021786
correct,230,0.04734472598322737
correct,231,0.04728940881626324
correct,232,0.04724199078870285
correct,233,0.047202166676536386
correct,234,0.04712852523667026
correct,235,0.04702170636825189
correct,236,0.04683197007413328
correct,237,0.04661992002405532
correct,238,0.04640301902723401
correct,239,0.04623336169259067
correct,240,0.04604437803545807
correct,241,0.04593212982825177
correct,242,0.04574225123120051
correct,243,0.045648454405162464
correct,244,0.04552766891301886
correct,245,0.04539118307848365
correct,246,0.04525819187137989
correct,247,0.0451895782991353
correct,248,0.04514515317486849
correct,249,0.04508409205873835
correct,250,0.0450684241121109
correct,251,0.04505417881631619
correct,252,0.04501477462835146
correct,253,0.04490439735724523
correct,254,0.044641458635405834
correct,255,0.04439078399572332
correct,256,0.04432949725747621
correct,257,0.04379021468474037
correct,258,0.04364521427921396
correct,259,0.0436142366901302
correct,260,0.04358760610110235
correct,261,0.04355617328690199
correct,262,0.04351556136644029
correct,263,0.04345645714438203
correct,264,0.043423855597119136
correct,265,0.04339159781018786
