t,x,y,z
0.0,-12.598717408117144,-20.782638021605816,20.842192722831815
0.004999999999999893,-13.005940272227726,-21.102379311874927,21.89826478890456
0.009999999999999787,-13.407466838771507,-21.362764135800347,23.00149733399095
0.015000000000000124,-13.80050083107276,-21.55651964320276,24.147417772715016
0.020000000000000018,-14.182031628971178,-21.67656581285641,25.330403904760775
0.02499999999999991,-14.548858912334824,-21.716213720300157,26.543652013270133
0.029999999999999805,-14.897626271496316,-21.669383163527602,27.77918110027189
0.03500000000000014,-15.224864132253284,-21.530832794578803,29.02788001193904
0.040000000000000036,-15.527041935778293,-21.296393636173708,30.27960290520778
0.04499999999999993,-15.800629019959546,-20.96319480812107,31.523316451875786
0.04999999999999982,-16.04216308940992,-20.529868712663315,32.74729938501969
0.05500000000000016,-16.248324569998555,-19.996722107457302,33.93939158052624
0.06000000000000005,-16.416014565017736,-19.365859679868596,35.08728605610768
0.06499999999999995,-16.542433617218354,-18.641248106460345,36.178853385753015
0.06999999999999984,-16.62515809066825,-17.828711202019704,37.20248447063677
0.07500000000000018,-16.662210772288894,-16.935850548857,38.14743481181211
0.08000000000000007,-16.652122297820366,-15.971890700334978,39.004151801074435
0.08499999999999996,-16.593980255550367,-14.947453270012076,39.76456639440736
0.08999999999999986,-16.487463314276976,-13.874269433940892,40.422332011354115
0.0950000000000002,-16.33285843388177,-12.764845026671303,40.97299656989849
0.10000000000000009,-16.13106009617326,-11.632095974957535,41.41409796844577
0.10499999999999998,-15.883551468337027,-10.48897387820177,41.745178630437586
0.10999999999999988,-15.592368397274265,-9.34810188558655,41.96772037602119
0.11500000000000021,-15.260048044599126,-8.22143962936623,42.08500628089311
0.1200000000000001,-14.889564732593536,-7.119993060536746,42.10192077459935
0.125,-14.48425612296121,-6.053580982515688,42.02470259484149
0.1299999999999999,-14.047743159401733,-5.030665386200038,41.86066710520663
0.1349999999999998,-13.583847265348826,-4.058247882277089,41.617914853785095
0.14000000000000012,-13.096508118351027,-3.1418300849597944,41.305042235235845
0.14500000000000002,-12.589704961349426,-2.285432101531016,40.93086799618097
0.1499999999999999,-12.06738391046562,-1.4916605610288916,40.50418645405076
0.1549999999999998,-11.533393136179537,-0.761815963079567,40.03355506603854
0.16000000000000014,-10.99142718554236,-0.09602850311983793,39.527120740836835
0.16500000000000004,-10.444981125607173,0.5065882078058641,38.99248631654157
0.16999999999999993,-9.897314659954684,1.0477751638017971,38.43661613097208
0.17499999999999982,-9.351425926040784,1.5299659543122623,37.86577769223525
0.18000000000000016,-8.81003433398551,1.9561313037515728,37.2855151432056
0.18500000000000005,-8.275571559716933,2.3296350356249547,36.70064946601289
0.18999999999999995,-7.7501796512385335,2.6541047192019054,36.11530011159759
0.19499999999999984,-7.2357151347556625,2.933318825845283,35.532922862647666
0.20000000000000018,-6.733758002879652,3.1711110323602805,34.95635913805793
0.20500000000000007,-6.2456245144642635,3.371291379617535,34.387892522586554
0.20999999999999996,-5.772382819671989,3.5375833187577,33.82930897024875
0.21499999999999986,-5.31487053104808,3.673575229129522,33.281957815922226
0.2200000000000002,-4.873713480303229,3.782684736395837,32.746811387007305
0.2250000000000001,-4.449345022168797,3.8681340569255105,32.22452160320642
0.22999999999999998,-4.042025364425854,3.9329346074857123,31.715472469313543
0.23499999999999988,-3.6518605124597596,3.979879212908704,31.219827796240818
0.2400000000000002,-3.278820514671031,4.0115403896569894,30.737573830305948
0.2450000000000001,-2.9227567804129797,4.030273356670793,30.268556736307897
0.25,-2.5834183145261433,4.038222608792055,29.81251507543055
0.2549999999999999,-2.2604667724523826,4.037331069685266,29.369107555186353
0.2599999999999998,-1.953490288282557,4.029351012011949,28.937936416241683
0.2650000000000001,-1.662016066148271,4.0158560875343134,28.518566870208815
0.27,-1.3855217544613783,3.998253946264997,28.110543022409985
0.2749999999999999,-1.1234456439966731,3.9777990410418216,27.713400711978956
0.2799999999999998,-0.8751957459997594,3.955605312552225,27.32667768488823
0.28500000000000014,-0.6401578165679473,3.9326585312221676,26.949921488728183
0.29000000000000004,-0.41770239954535826,3.9098281383215703,26.58269544533299
0.29499999999999993,-0.20719096299790324,3.887878481111039,26.224583021681617
0.2999999999999998,-0.007981204751374461,3.867479377859855,25.875190883120375
0.30500000000000016,0.1805683988839493,3.84921597999497,25.534150877417922
0.31000000000000005,0.3590947297054077,3.83359792221563,25.201121164516238
0.31499999999999995,0.5282267815167031,3.8210677686446792,24.875786675726395
0.31999999999999984,0.6885829673518367,3.812008775289434,24.557859057882172
0.3250000000000002,0.8407689203691555,3.8067519973496338,24.247076232737367
0.33000000000000007,0.9853757332010374,3.8055827751445133,23.94320167965141
0.33499999999999996,1.1229785849650142,3.8087466353727577,23.646023530227673
0.33999999999999986,1.2541357094462993,3.8164546456581334,23.35535354685996
0.3450000000000002,1.3793876620842724,3.828888260335181,23.071026042878373
0.3500000000000001,1.4992568472942616,3.8462036945548514,22.792896789923603
0.355,1.614247271306215,3.8685358623157247,22.52084194807257
0.3599999999999999,1.7248444890918555,3.8960019121603433,22.254757045850912
0.3650000000000002,1.8315157170791294,3.928704392171658,21.994556030373694
0.3700000000000001,1.9347100862213722,3.9667340736725394,21.740170402247596
