p15,J_prefix_stiff,J_fixed_stiff
-0.5,2.8626840905501654,22.421087861175202
-0.4816666666666667,2.7903926085672146,20.687619932507733
-0.4633333333333333,2.717880015743487,19.046524710423146
-0.445,2.6451110874199406,17.49577425484036
-0.4266666666666667,2.5720406452039994,16.033196470624407
-0.4083333333333333,2.4986102545718767,14.656499336472855
-0.39,2.4247426286365306,13.363284847774628
-0.37166666666666665,2.3503322817373467,12.1510535177573
-0.35333333333333333,2.275229663478974,11.017197941289545
-0.335,2.1992135552006022,9.958980627886508
-0.31666666666666665,2.1219410884992413,8.9734847962312
-0.29833333333333334,2.04285122969795,8.05751108568164
-0.28,1.9609528339629974,7.207342145507306
-0.26166666666666666,1.8742258127731086,6.418071512411613
-0.24333333333333335,1.7771289350766355,5.680838349310642
-0.225,1.639386865581225,4.959699609961569
-0.20666666666666667,1.2452594045823195,4.122358255813438
-0.18833333333333332,1.1749158443396701,3.6165260604530394
-0.17,1.110761956064651,3.150887490730589
-0.15166666666666667,1.048684197331407,2.7283332201036568
-0.13333333333333333,0.987646128960308,2.3483736359950114
-0.115,0.9270435821551782,2.009313875720638
-0.09666666666666666,0.8664976146564611,1.709005652051453
-0.07833333333333334,0.8057035474951952,1.4450116890578741
-0.06,0.7443109454243859,1.2146154020174043
-0.041666666666666664,0.6817961649888389,1.0147513786545257
-0.023333333333333334,0.6172259031441056,0.8417905729209523
-0.005,0.5486009524711384,0.6908774767602258
0.013333333333333334,0.47018693611823703,0.5532072762249565
0.03166666666666667,0.3502177417731676,0.3934524611424496
0.05,0.1182233034074304,0.13539031202140112
0.06833333333333333,0.018571589756730008,0.021796966629280212
0.08666666666666667,0.02943019631068922,0.030635967302117602
0.105,0.2611215063661168,0.2743156081906954
0.12333333333333334,0.42319170262039774,0.46144845438981236
0.14166666666666666,0.573582217624625,0.6448082553885852
0.16,0.7997433434743724,0.9083202633473091
0.17833333333333334,1.0213795974813689,1.1718685305973484
0.19666666666666666,1.2145840256927067,1.412030612110877
0.215,1.3760634126847022,1.6251291798407388
0.23333333333333334,1.503783557823986,1.8083758257313243
0.25166666666666665,1.6032740068679692,1.9660151956620422
0.27,1.682134905437939,2.1037737953446993
0.28833333333333333,1.7532244912541926,2.232012510289978
0.30666666666666664,1.8269015690145305,2.358503167791672
0.325,1.9042740134867644,2.4828605485216375
0.3433333333333333,1.9698704687482,2.589747135371752
0.3616666666666667,2.016338678896495,2.6721874966852606
0.38,2.0526940459747003,2.738913582354908
0.3983333333333333,2.0844859034034675,2.795343537530507
0.4166666666666667,2.10905461826345,2.8396792698255457
0.435,2.123368195000404,2.870421239008619
0.4533333333333333,2.130252347619269,2.8915901749434845
0.4716666666666667,2.134852345512761,2.9089396261408074
0.49,2.137775477435856,2.923640522424793
0.5083333333333333,2.1351876210030825,2.932621662501922
0.5266666666666666,2.1241998887073783,2.9336262364266967
0.545,2.105783512851316,2.927794902131063
0.5633333333333334,2.083255713482041,2.9181978633049765
0.5816666666666667,2.0596299767418786,2.9074659872833304
0.6,2.0360483072620688,2.896469002960482
