index,monomial,equation,p_true
1,1,dx/dt,0.0
2,y,dx/dt,0.0
3,y^2,dx/dt,0.0
4,x,dx/dt,1.0
5,x * y,dx/dt,-0.5
6,x^2,dx/dt,0.0
7,1,dy/dt,0.0
8,y,dy/dt,-0.8
9,y^2,dy/dt,0.0
10,x,dy/dt,0.0
11,x * y,dy/dt,0.3
12,x^2,dy/dt,0.0
